Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2p8IUWQDrpjuFltbdgLOag,"After Hours","After Hours","The Weeknd",2020-03-20,361026,81,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,4
spotify:track:5ZDKPFRZC6QlJpf8bCIXTs,"The Abyss (feat. Lana Del Rey)","Hurry Up Tomorrow","The Weeknd;Lana Del Rey",2025-01-31,282873,73,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"","XO / Republic Records",0.192,0.401,0,-8.553,0,0.0325,0.231,0.00000369,0.177,0.0571,84.501,4
spotify:track:2SLwbpExuoBDZBpjfefCtV,"Out of Time","Dawn FM","The Weeknd",2022-01-06,214193,77,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:39Z,"","XO / Republic Records",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
spotify:track:3orEOtd8CPL8GFlpRpKuoE,"Faith","After Hours","The Weeknd",2020-03-20,283226,68,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.37,0.603,0,-7.268,0,0.0735,0.612,0.0439,0.147,0.125,175.962,4
spotify:track:2ye9iWj5V4g6k6HFeTTAKa,"High For This","House Of Balloons (Original)","The Weeknd",2011-03-21,249102,67,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-07T13:23:04Z,"","The Weeknd/Lyric",0.466,0.403,4,-10.441,0,0.0502,0.59,0.0000951,0.1,0.0967,75.033,4
spotify:track:00aqkszH1FdUiJJWvX6iEl,"Wicked Games","House Of Balloons (Original)","The Weeknd",2011-03-21,325305,74,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-07T13:40:18Z,"","The Weeknd/Lyric",0.606,0.57,9,-6.684,1,0.032,0.0217,0.00000847,0.301,0.258,114.033,4
spotify:track:1mhVXWduD8ReDwusfaHNwU,"Tell Your Friends","Beauty Behind The Madness","The Weeknd",2015-08-28,334333,67,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:30Z,"","The Weeknd/Lyric",0.583,0.454,1,-11.091,0,0.0425,0.265,0,0.181,0.309,74.64,4
spotify:track:0UGdO687azruy9tFlCxO6F,"Montreal","Echoes Of Silence (Original)","The Weeknd",2011-12-21,250505,60,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-09T23:13:50Z,"","The Weeknd/Lyric",0.54,0.775,7,-4.118,0,0.0992,0.0598,0.0000293,0.624,0.166,183.822,4
spotify:track:1sOW4PuG5X3Ie3EXUhAopJ,"Escape From LA","After Hours","The Weeknd",2020-03-20,355960,65,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.372,0.525,5,-8.996,0,0.0592,0.0457,0.00313,0.199,0.171,144.95,4
spotify:track:58yC1Q6XKjmHeWkEWh9O6B,"Outside","Echoes Of Silence (Original)","The Weeknd",2011-12-21,259004,55,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-09T23:19:25Z,"","The Weeknd/Lyric",0.578,0.491,5,-7.107,0,0.0469,0.748,0,0.16,0.237,139.97,4
spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,"I Feel It Coming","Starboy","The Weeknd;Daft Punk",2016-11-25,269186,77,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:42Z,"french house,electronic,electro","The Weeknd/Lyric",0.773,0.819,0,-5.946,0,0.118,0.428,0,0.0679,0.585,92.987,4
spotify:track:7szuecWAPwGoV1e5vGu8tl,"In Your Eyes","After Hours","The Weeknd",2020-03-20,237520,76,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.667,0.719,7,-5.371,0,0.0346,0.0028,0.0000792,0.0736,0.718,100.019,4
spotify:track:5rzI6Jnlhx8DgVgsOLorfW,"Baptized In Fear","Hurry Up Tomorrow","The Weeknd",2025-01-31,232176,69,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"","XO / Republic Records",0.571,0.516,7,-7.567,0,0.0296,0.138,0,0.435,0.456,123.666,4
spotify:track:2r7BPog74oaTG5shNYiUnV,"House Of Balloons / Glass Table Girls","House Of Balloons (Original)","The Weeknd",2011-03-21,407315,79,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-07T13:31:27Z,"","The Weeknd/Lyric",0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,4
spotify:track:0Hs5enNuaAXmJssAybWbOw,"XO / The Host","Echoes Of Silence (Original)","The Weeknd",2011-12-21,444212,58,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-09T23:21:03Z,"","The Weeknd/Lyric",0.449,0.717,2,-6.055,1,0.0549,0.419,0.000272,0.346,0.235,127.999,4
spotify:track:2D4dV2KXDTszzJ3p3cFqhA,"Less Than Zero","Dawn FM","The Weeknd",2022-01-06,211814,73,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:39Z,"","XO / Republic Records",0.535,0.791,0,-5.55,1,0.0327,0.00096,0.000155,0.0788,0.5,142.981,4
spotify:track:3dQEShIMs5TW8H3eUh11r7,"Twenty Eight","Trilogy","The Weeknd",2012-11-13,258293,62,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-07T14:37:52Z,"","The Weeknd/Lyric",0.636,0.64,3,-7.171,0,0.0366,0.566,0.000207,0.108,0.247,129.966,4
spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,"Die For You","Starboy","The Weeknd",2016-11-25,260252,79,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:42Z,"","The Weeknd/Lyric",0.586,0.525,1,-7.163,0,0.0616,0.111,0,0.134,0.507,133.63,4
spotify:track:5673WA8EEUSPx1ir26lhGW,"Wake Me Up (feat. Justice)","Hurry Up Tomorrow","The Weeknd;Justice",2025-01-31,308575,68,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"french house,new rave","XO / Republic Records",0.603,0.509,1,-8.896,1,0.0337,0.00495,0.000397,0.512,0.175,110.992,4
spotify:track:4TgYcx5TPQF7xC79b6v4hP,"Tears In The Rain","Kiss Land","The Weeknd",2013-01-01,444653,52,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:19Z,"","The Weeknd/Lyric",0.655,0.636,1,-7.841,1,0.0452,0.109,0.23,0.0842,0.191,160.01,4
spotify:track:6b5P51m8xx2XA6U7sdNZ5E,"Alone Again","After Hours","The Weeknd",2020-03-20,250053,65,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.405,0.653,4,-7.953,0,0.0423,0.0329,0.109,0.172,0.0622,136.066,4
spotify:track:6tjsbysvZh8Pq8DZA5ldrn,"The Knowing","House Of Balloons (Original)","The Weeknd",2011-03-21,342828,60,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-07T14:27:00Z,"","The Weeknd/Lyric",0.454,0.668,6,-5.821,0,0.03,0.205,0.000841,0.0938,0.168,85.994,4
spotify:track:1gZADNt16Oh23jWyMYRk4p,"Prisoner","Beauty Behind The Madness","The Weeknd;Lana Del Rey",2015-08-28,274960,65,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:30Z,"","The Weeknd/Lyric",0.551,0.405,0,-12.756,0,0.0398,0.443,0.000217,0.11,0.341,135.017,4
spotify:track:6bnF93Rx87YqUBLSgjiMU8,"Heartless","After Hours","The Weeknd",2020-03-20,198266,78,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.537,0.746,10,-5.507,0,0.15,0.0236,0.000001,0.156,0.252,170.083,4
spotify:track:3weHnt82LuCTMa2AnZFM78,"Echoes Of Silence","Echoes Of Silence (Original)","The Weeknd",2011-12-21,239995,54,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:46:06Z,"","The Weeknd/Lyric",0.356,0.201,6,-12.289,0,0.0388,0.974,0.000273,0.108,0.18,130.688,3
spotify:track:4PhsKqMdgMEUSstTDAmMpg,"Often","Beauty Behind The Madness","The Weeknd",2015-08-28,249040,80,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:30Z,"","The Weeknd/Lyric",0.572,0.631,7,-9.836,0,0.0476,0.222,0,0.135,0.0713,134.078,4
spotify:track:6n6GfXu4i22rdsmRKe2eIn,"Without a Warning","Hurry Up Tomorrow","The Weeknd",2025-01-31,297525,64,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"","XO / Republic Records",0.269,0.505,1,-8.168,0,0.042,0.161,0.00000428,0.672,0.0687,87.735,4
spotify:track:0sTBOp1hdayTjw6UOyPyi6,"Open Hearts","Hurry Up Tomorrow","The Weeknd",2025-01-31,234923,71,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"","XO / Republic Records",0.656,0.753,7,-5.947,0,0.122,0.00353,0.000368,0.199,0.375,123.972,4
spotify:track:09mEdoA6zrmBPgTEN5qXmN,"Call Out My Name","My Dear Melancholy,","The Weeknd",2018-03-30,228373,85,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:49Z,"","The Weeknd/Lyric",0.461,0.593,1,-4.954,1,0.0356,0.165,0,0.307,0.174,134.165,3
spotify:track:1nH2PkJL1XoUq8oE6tBZoU,"Sacrifice","Dawn FM","The Weeknd",2022-01-06,188918,70,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:39Z,"","XO / Republic Records",0.735,0.795,11,-6.523,0,0.113,0.0296,0.0000318,0.0678,0.905,122,4
spotify:track:37F0uwRSrdzkBiuj0D5UHI,"Reminder","Starboy","The Weeknd",2016-11-25,218880,81,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:42Z,"","The Weeknd/Lyric",0.705,0.505,8,-6.923,1,0.193,0.142,0,0.164,0.388,160.053,4
spotify:track:7fBv7CLKzipRk6EC6TWHOB,"The Hills","Beauty Behind The Madness","The Weeknd",2015-08-28,242253,87,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:30Z,"","The Weeknd/Lyric",0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,89,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:57Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd;Daft Punk",2016-11-25,230453,90,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:42Z,"french house,electronic,electro","The Weeknd/Lyric",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
spotify:track:22VdIZQfgXJea34mQxlt81,"Can't Feel My Face","Beauty Behind The Madness","The Weeknd",2015-08-28,213520,83,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:30Z,"","The Weeknd/Lyric",0.705,0.769,9,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,4
spotify:track:0ifooM33X1iBxVYyOkSbXW,"A Lonely Night","Starboy","The Weeknd",2016-11-25,220173,63,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:42Z,"","The Weeknd/Lyric",0.853,0.663,7,-6.955,0,0.0755,0.0431,0.00000871,0.0891,0.864,113.998,4
spotify:track:2gOEWbtEzHtpHb9fywSEiw,"Professional","Kiss Land","The Weeknd",2013-01-01,368720,51,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:19Z,"","The Weeknd/Lyric",0.405,0.619,11,-8.92,0,0.0618,0.163,0.000322,0.0788,0.234,120.087,4
spotify:track:4sWQbsLLH2NEbO79DSZCL9,"Big Sleep (feat. Giorgio Moroder)","Hurry Up Tomorrow","The Weeknd;Giorgio Moroder",2025-01-31,225312,60,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"italo disco,disco","XO / Republic Records",0.322,0.335,0,-10.08,0,0.0292,0.468,0.00422,0.455,0.165,108.749,4
spotify:track:6QdnKD1zwEgyOWtkrdzlOF,"Hurt You","My Dear Melancholy,","The Weeknd;Gesaffelstein",2018-03-30,230026,71,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:49Z,"","The Weeknd/Lyric",0.477,0.718,5,-7.227,0,0.15,0.259,0.00275,0.109,0.361,183.934,4
spotify:track:4ppTAJUbNXELZcoUaL90wo,"Try Me","My Dear Melancholy,","The Weeknd",2018-03-30,221106,70,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:49Z,"","The Weeknd/Lyric",0.453,0.679,8,-5.778,0,0.0651,0.596,0.000578,0.129,0.107,92.023,4
spotify:track:4frLb7nWtsz2ymBE6k2GRP,"Earned It (Fifty Shades Of Grey)","Beauty Behind The Madness","The Weeknd",2015-08-28,277680,75,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:30Z,"","The Weeknd/Lyric",0.657,0.291,2,-8.275,0,0.0348,0.405,0,0.0771,0.405,119.782,3
spotify:track:1oGdVdYjeQvojGKDddxLQQ,"True Colors","Starboy","The Weeknd",2016-11-25,206013,61,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:42Z,"","The Weeknd/Lyric",0.624,0.424,1,-8.237,1,0.24,0.286,0,0.173,0.584,76.671,4
spotify:track:6eJbjaoLRlfwrfWpeS6alF,"Life Of The Party","Thursday (Original)","The Weeknd",2011-08-18,296286,58,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-07T15:01:10Z,"","The Weeknd/Lyric",0.596,0.553,2,-7.96,1,0.0269,0.00294,0.00148,0.595,0.516,138.107,4
spotify:track:3KyKxJ4P3pVCgaZwaq2rUC,"Gasoline","Dawn FM","The Weeknd",2022-01-06,212165,67,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:39Z,"","XO / Republic Records",0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,4
spotify:track:31ue6kAOfrqVrdoPdfkq40,"Adaptation","Kiss Land","The Weeknd",2013-01-01,283933,50,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:19Z,"","The Weeknd/Lyric",0.642,0.792,11,-6.799,0,0.0688,0.159,0.000553,0.305,0.623,114.96,4
spotify:track:2jst5B18Q3PN3rwwIfnAgp,"Belong To The World","Kiss Land","The Weeknd",2013-01-01,307173,47,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:47:19Z,"","The Weeknd/Lyric",0.503,0.858,5,-6.27,0,0.0578,0.00392,0,0.119,0.361,121.007,4
spotify:track:3AWDeHLc88XogCaCnZQLVI,"Cry For Me","Hurry Up Tomorrow","The Weeknd",2025-01-31,224136,81,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:51Z,"","XO / Republic Records",0.647,0.645,7,-6.425,0,0.0303,0.0871,0,0.671,0.422,120.098,4
spotify:track:2vgUijXOTRMnWXDtvgMp2b,"Take My Breath","Dawn FM","The Weeknd",2022-01-06,339023,70,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-10T00:48:39Z,"","XO / Republic Records",0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,0.354,121.02,4
