Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ipnJyDU3Lq15qBAYNqlqK,"Mi Gente","Mi Gente","J Balvin;Willy William",2017-06-30,189440,69,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-12T17:27:58Z,"reggaeton,latin","UMLE - Latino",0.774,0.687,11,-4.818,0,0.0584,0.0179,0.0000117,0.128,0.308,104.959,4
spotify:track:32lm3769IRfcnrQV11LO4E,"Bailando - Spanish Version","SEX AND LOVE (Deluxe)","Enrique Iglesias;Descemer Bueno;Gente De Zona",2014-03-17,243413,10,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-12T17:28:30Z,"latin pop,latin,latin dance","Universal Music Group International",0.723,0.777,7,-3.503,1,0.108,0.0426,0.00000368,0.0451,0.961,91.017,4
spotify:track:1IHWl5LamUGEuP4ozKQSXZ,"Tití Me Preguntó","Un Verano Sin Ti","Bad Bunny",2022-05-06,243716,95,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-12T17:30:42Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
spotify:track:5w9c2J52mkdntKOmRLeM2m,"Con Calma","Con Calma","Daddy Yankee;Snow",2019-01-24,193226,80,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-12T17:30:57Z,"reggaeton,latin","Craft Latino",0.737,0.86,8,-2.652,0,0.0593,0.11,0.00000194,0.0574,0.656,93.989,4
spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Me Porto Bonito","Un Verano Sin Ti","Bad Bunny;Chencho Corleone",2022-05-06,178567,86,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-12T17:53:10Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4
spotify:track:0nfnCp3NNcUjksmxd5xqEG,"Eva Longoria","Afro","Ozuna;Davido",2023-05-26,199850,54,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T04:39:43Z,"reggaeton,trap latino,latin,urbano latino,afrobeats,afrobeat,afropop,afropiano,azonto,amapiano,hiplife,afroswing,afro r&b","Aura Music Corp.",0.615,0.676,7,-6.235,0,0.148,0.163,0.00492,0.0976,0.566,196.076,4
spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Hey Mor","OzuTochi","Ozuna;Feid",2022-10-07,196600,76,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T04:47:11Z,"reggaeton,trap latino,latin,urbano latino","Aura Music Corp.",0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
spotify:track:7qCAVkHWZkF44OzOUKf8Cr,"El Perdón (with Enrique Iglesias)","Fénix","Nicky Jam;Enrique Iglesias",2017-01-20,205906,78,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T04:51:58Z,"reggaeton,latin,latin pop","Sony Music Latin",0.628,0.69,8,-5.83,1,0.0511,0.443,0,0.113,0.66,179.908,4
spotify:track:31i56LZnwE6uSu3exoHjtB,"Neverita","Un Verano Sin Ti","Bad Bunny",2022-05-06,173119,83,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T04:59:10Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.876,0.498,10,-7.511,1,0.0478,0.0706,0,0.143,0.428,122.016,4
spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"CLASSY 101","CLASSY 101","Feid;Young Miko",2023-03-31,195986,70,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T17:43:01Z,"reggaeton,urbano latino,trap latino","UMLE - Latino",0.859,0.658,11,-4.79,1,0.159,0.145,0,0.12,0.672,100.065,4
spotify:track:2UW7JaomAMuX9pZrjVpHAU,"La Bebe - Remix","La Bebe (Remix)","Yng Lvcas;Peso Pluma",2023-03-17,234352,78,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T17:48:17Z,"reggaeton mexa,reggaeton,electro corridos,dembow belico,corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,banda","WM Mexico",0.812,0.479,2,-5.678,0,0.333,0.213,0.00000121,0.0756,0.559,169.922,4
spotify:track:3dnP0JxCgygwQH9Gm7q7nb,"Ella Baila Sola","Ella Baila Sola","Eslabon Armado;Peso Pluma",2023-03-16,165671,76,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T17:50:03Z,"corridos tumbados,sad sierreño,corrido,sierreño,música mexicana,corridos bélicos,banda","DEL Records",0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3
spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"PRC","PRC","Peso Pluma;Natanael Cano",2023-01-23,184066,69,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:00:14Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,banda,electro corridos","Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT",0.784,0.826,7,-6.34,0,0.0538,0.0965,0.0000709,0.123,0.893,138.078,3
spotify:track:5RcxRGvmYai7kpFSfxe5GY,"CHANEL","CHANEL","Becky G;Peso Pluma",2023-03-30,201993,63,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:03:34Z,"reggaeton,latin,corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,banda","Kemosabe Records/RCA Records",0.852,0.675,2,-5.738,1,0.0363,0.397,0.00317,0.0905,0.528,132.005,3
spotify:track:1haJsMtoBhHfvuM7XWuT3W,"El Azul","El Azul","Junior H;Peso Pluma",2023-02-10,187225,78,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:12:19Z,"corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,música mexicana,banda","WEA Latina",0.561,0.643,0,-7.118,1,0.054,0.232,0.00000845,0.0986,0.842,143.907,3
spotify:track:3DKWF8is9hzp84aSxnhlag,"Necio (feat. Carlos Santana)","Fórmula, Vol. 2 (Deluxe Edition)","Romeo Santos;Carlos Santana",2014-02-25,264266,78,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:23:15Z,"bachata,latin","Sony Music Latin",0.869,0.684,1,-4.915,1,0.0456,0.362,0,0.0737,0.88,115.052,4
spotify:track:7bPp2NmpmyhLJ7zWazAXMu,"TULUM","GÉNESIS","Peso Pluma;Grupo Frontera",2023-06-29,209415,71,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:31:56Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,banda,cumbia norteña,norteño,grupera,tejano,ranchera","Double P Records",0.557,0.866,6,-4.454,1,0.0503,0.394,0,0.11,0.631,167.767,4
spotify:track:3HOKxuTDmNVmIlCIpBiD8m,"LAGUNAS","GÉNESIS","Peso Pluma;Jasiel Nuñez",2023-06-29,231246,78,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:32:07Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,sierreño,banda","Double P Records",0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952,3
spotify:track:0BFQC00Y58JtjMyTXOJazO,"S91","MAÑANA SERÁ BONITO (BICHOTA SEASON)","KAROL G",2023-08-10,173005,67,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:32:12Z,"reggaeton,latin,urbano latino","Bichota/Interscope Records",0.644,0.711,0,-4.934,0,0.377,0.632,0.0000191,0.0898,0.381,128.225,4
spotify:track:505v13epFXodT9fVAJ6h8k,"AMARGURA","MAÑANA SERÁ BONITO","KAROL G",2023-02-24,170480,81,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:32:18Z,"reggaeton,latin,urbano latino","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",0.912,0.7,6,-3.331,0,0.068,0.163,0,0.174,0.535,106.981,4
spotify:track:6pD0ufEQq0xdHSsRbg9LBK,"un x100to","un x100to","Grupo Frontera;Bad Bunny",2023-04-17,194563,79,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:34:14Z,"cumbia norteña,banda,norteño,música mexicana,corrido,corridos tumbados,grupera,tejano,ranchera,reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.569,0.724,6,-4.076,0,0.0474,0.228,0,0.27,0.562,83.118,4
spotify:track:2I0lnsJyw8BjwJlmhjlYfn,"Tristes Recuerdos","TRISTES RECUERDOS / AFERRADO POR TI (Grabación Original Remasterizada)","Ramon Ayala Y Sus Bravos Del Norte",1989,185173,36,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-19T18:34:52Z,"norteño,tejano,cumbia norteña,ranchera,música mexicana,corrido,grupera,banda","Martzcom Music, LLC / Freddie Records",0.808,0.625,10,-6.085,1,0.0381,0.0194,0.00000445,0.0583,0.841,101.496,4
spotify:track:7cpFmkNmh3MM0WqXPSbs9f,"Suavemente","Suavemente","Elvis Crespo",1998-04-14,267000,68,false,br4reja3tf0gpjr6ai9r6z1b6,2023-09-20T17:38:01Z,"merengue,latin dance,salsa,latin","Sony Music Latin",0.811,0.88,8,-2.972,1,0.0628,0.254,0.00146,0.0475,0.915,124.12,4
spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Danza Kuduro","Meet The Orphans","Don Omar;Lucenzo",2010-01-01,198773,84,false,br4reja3tf0gpjr6ai9r6z1b6,2023-11-11T06:51:57Z,"reggaeton,urbano latino,kuduro","UMLE - Machete",0.4,0.915,0,-4.89,1,0.279,0.083,0,0.0503,0.871,89.006,3
spotify:track:4MjDJD8cW7iVeWInc2Bdyj,"MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,88,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-12T07:43:05Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
