Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7LUOpegdxmYkaHjJXdHuZ3,"Deep Water","Compton","Dr. Dre;Kendrick Lamar;Justus;Anderson .Paak",2015-08-21,311360,43,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:42:18Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap,soca,riddim","Dr. Dre LP3 PS",0.705,0.786,1,-5.417,1,0.355,0.0306,0.0000327,0.906,0.473,101.995,4
spotify:track:70hDklZStSazrExPjHJPfR,"Extinct","New Beginnings","REASON;Isaiah Rashad;JID",2020-10-09,222248,52,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:42:54Z,"","Top Dawg Entertainment, LLC",0.63,0.694,2,-6.593,1,0.313,0.419,0,0.134,0.44,91.749,4
spotify:track:4xP5bdGofMzMQyH1TDFPp8,"golden years","golden years","Christian French",2022-05-27,169744,37,false,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:43:19Z,"","Disruptor Records/RCA Records",0.626,0.573,1,-7.825,1,0.115,0.41,0,0.219,0.68,149.993,4
spotify:track:687YZan9Gol1UVvbpUSO6Y,"I Wish","Songs In The Key Of Life","Stevie Wonder",1976-09-28,252373,69,false,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:43:44Z,"motown,classic soul,soul","UNI/MOTOWN",0.821,0.721,10,-10.401,0,0.0515,0.0816,0.00000737,0.0664,0.885,105.866,4
spotify:track:4Yfp2BQfz2rDx0SuUXcrkY,"East Coast","East Coast","Connor Price;Nic D;GRAHAM",2023-12-15,162536,45,false,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:44:24Z,"","4 of clubs LLC, FRDi Entertainment, 100graham Sounds",0.81,0.642,4,-4.232,1,0.185,0.276,0,0.0705,0.917,80.027,4
spotify:track:3sRdDFLo7CL2UiYg2PYmRQ,"My Love Is Waiting","Midnight Love","Marvin Gaye",1982-10-01,306960,38,false,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:44:54Z,"motown,classic soul,soul,northern soul,quiet storm","Columbia/Legacy",0.754,0.601,11,-8.536,0,0.0366,0.514,0.0000121,0.255,0.871,92.406,4
spotify:track:4cQrSREMqBSvJ8ZzBZjVb8,"Mile High (feat. Travis Scott & Metro Boomin)","Assume Form","James Blake;Travis Scott;Metro Boomin",2019-01-18,193600,62,false,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:53:44Z,"rap","Polydor Records",0.754,0.37,6,-9.854,0,0.12,0.403,0.0000622,0.107,0.228,114.941,4
spotify:track:4FNm4ZJaUVLDCMXcqwS6zY,"Stir It Up","Legend - The Best Of Bob Marley And The Wailers","Bob Marley & The Wailers",2002-01-01,330760,61,false,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:54:22Z,"reggae,roots reggae","UMC (Universal Music Catalogue)",0.751,0.463,9,-10.96,1,0.104,0.641,0.208,0.0315,0.926,150.19,4
spotify:track:49vay1EpGDgK8B5oYTGMpj,"Left Hand","No More, No Less: Demo 1","REASON;Isaiah Rashad;Zacari",2021-10-29,211268,31,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:55:14Z,"","Top Dawg Entertainment",0.756,0.655,1,-6.856,1,0.112,0.153,0,0.369,0.352,140.002,4
spotify:track:4qNijbGeHqlcFWrGrATFOX,"Cheers (feat. Q-Tip)","Oxnard","Anderson .Paak;Q-Tip",2018-11-16,334733,45,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:57:07Z,"east coast hip hop","Aftermath",0.727,0.518,2,-7.825,1,0.396,0.0888,0,0.0893,0.485,88.255,4
spotify:track:2cue4DdCwO7himRLESpWk5,"Tell Me It's Over (feat. Summer Walker & 6LACK)","Sincerely For You","Jacquees;Summer Walker;6LACK",2022-12-16,281013,58,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-02T12:58:10Z,"r&b,trap soul","Republic Records",0.707,0.459,5,-6.488,1,0.0616,0.38,0,0.112,0.441,122.07,4
