Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5m5cGJxI82Qa91JELoI4pF,"KARMA","HEAVY","SiR;Isaiah Rashad",2024-03-22,187972,44,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:41:02Z,"alternative r&b,neo soul","TDE Music LLC",0.529,0.763,4,-4.593,1,0.328,0.116,0.0000954,0.115,0.409,143.3,4
spotify:track:228UGKVMN5uLgmMSi5edOZ,"Heatwave (feat. 6LACK)","The Jungle Is The Only Way Out","Mereba;6LACK",2019-02-27,242866,41,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:41:11Z,"alternative r&b","Interscope Records",0.393,0.564,7,-8.853,0,0.385,0.217,0.000082,0.139,0.162,159.59,4
spotify:track:3lnDL4J8YRCKMDdqyAv6YF,"Changed Man","Rev. Curtis Watson","Rev. Curtis Watson",1977-11-08,236493,2,false,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:42:55Z,"","Malaco Records",0.603,0.544,5,-12.384,0,0.0592,0.634,0.0000525,0.082,0.731,79.874,4
spotify:track:1UjyF6okUHhnVxaLV8ojsA,"Am I Wrong (feat. ScHoolboy Q)","Malibu","Anderson .Paak;ScHoolboy Q",2016-01-15,253520,55,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:43:39Z,"","OBE / Apeshit, Inc / EMPIRE",0.729,0.799,11,-7.378,0,0.0779,0.0588,0.00218,0.0948,0.532,115.04,4
spotify:track:3xc7EvYaIA0El81QVSwdhg,"Miss Right","Venice","Anderson .Paak",2014-10-28,198713,0,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:44:15Z,"","OBE / EMPIRE",0.819,0.521,10,-7.328,0,0.216,0.00344,0.366,0.204,0.715,96.419,4
spotify:track:3UNoPBNWST9mQleI5T53zL,"Smile","Smile","Isaiah Rashad",2016-01-15,203371,54,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:44:59Z,"","Top Dawg Entertainment",0.783,0.563,2,-8.132,1,0.276,0.537,0,0.392,0.517,132.155,4
spotify:track:3F18I7LhWKxlf1PytSoTBH,"Welcome To Heartbreak","808s & Heartbreak","Kanye West;Kid Cudi",2008-11-24,262933,60,false,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:46:16Z,"rap","Roc-A-Fella",0.677,0.435,7,-11.024,0,0.033,0.0985,0.721,0.111,0.0729,95.991,4
spotify:track:1NeLwFETswx8Fzxl2AFl91,"Something About Us","Discovery","Daft Punk",2001-03-12,232666,75,false,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:46:58Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,4
spotify:track:0Z4oNNgJKK9VcuSw1L5Cb4,"letstalkaboutit","KAYTRAMINÉ","KAYTRAMINÉ;Aminé;KAYTRANADA;Freddie Gibbs",2023-05-19,166994,0,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:49:38Z,"jazz rap,alternative hip hop","CLBN LLC & Kaytranada Music & Publishing, Inc. under exclusive license to Venice Music",0.767,0.78,8,-4.768,1,0.189,0.0866,0,0.125,0.555,112.08,4
spotify:track:4l0UlMRbfxPS0Y3zHlpYou,"Paper Cuts (with J. Cole)","We Only Talk About Real Shit When We're Fucked Up","Bas;J. Cole",2023-12-15,232781,43,true,br4reja3tf0gpjr6ai9r6z1b6,2024-04-04T11:50:01Z,"rap","Dreamville/Interscope",0.745,0.51,8,-9.859,0,0.0665,0.678,0.00995,0.0908,0.701,133.078,4
spotify:track:57KXAlfzVwxhBtHkvMatrd,"It's All On Me","Compton","Dr. Dre;Justus;BJ The Chicago Kid",2015-08-21,227653,44,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:30:55Z,"old school hip hop,g-funk,gangster rap,west coast hip hop,hip hop,rap,soca,riddim","Dr. Dre LP3 PS",0.587,0.863,2,-4.43,0,0.496,0.0448,0,0.13,0.198,89.702,4
spotify:track:4kswfYbJFf6FPzMElZmtve,"Tiiied (feat. 6LACK & Ella Mai)","DiCaprio 2","JID;6LACK;Ella Mai",2018-11-26,244801,45,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:31:07Z,"r&b","J. Cole/ DreamVille",0.588,0.644,2,-7.523,0,0.227,0.6,0,0.647,0.102,97.183,4
spotify:track:4KjnaUNYPwGnJjoeTFlt91,"Now Or Never - Bonus Track","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Mary J. Blige",2012,256013,66,false,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:31:13Z,"hip hop,west coast hip hop,r&b","Aftermath",0.535,0.707,7,-5.879,0,0.21,0.264,0,0.308,0.784,100.534,4
spotify:track:3BVt1MH9KaZjQw4W58SUTV,"Relaxation","Higher Learning 2 (Deluxe Edition)","Fashawn;J. Cole;Omen",2012-04-03,160177,45,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:31:33Z,"alternative hip hop,underground hip hop,rap","IAN Group",0.851,0.67,4,-7.063,0,0.283,0.264,0,0.115,0.614,119.994,4
spotify:track:3HeHUhpH7heTjyJU5pBnBp,"I'LL TAKE YOU ON (feat. Charlie Wilson)","ROADRUNNER: NEW LIGHT, NEW MACHINE","BROCKHAMPTON;Charlie Wilson",2021-04-09,254653,39,false,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:32:06Z,"sexy drill","Question Everything/RCA Records",0.684,0.54,7,-8.563,0,0.0654,0.0429,0.00000339,0.461,0.583,136.94,4
spotify:track:3TTMUI5dFcbeNSDTTDY9M8,"Come Thru (with Usher)","Over It","Summer Walker;USHER",2019-10-04,181013,66,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:33:19Z,"r&b","LVRN/Interscope Records",0.679,0.728,5,-3.092,0,0.154,0.159,0,0.107,0.46,152.001,4
spotify:track:4E2fOeF5A6onC10OtnjXJa,"Trae The Truth in Ibiza","Might Delete Later","J. Cole",2024-04-05,255440,66,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:35:01Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.488,0.586,7,-7.868,1,0.0987,0.121,0,0.354,0.533,158.405,3
spotify:track:3phwC9mMlIwLuTuhReiYia,"L.A.","Sonder Son","Brent Faiyaz",2017-10-13,316045,62,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:36:00Z,"r&b","Lost Kids",0.517,0.598,8,-10.251,0,0.1,0.275,0.000542,0.276,0.528,140.131,4
spotify:track:29sEmSIzC0w4DuGInHM8yN,"Closure (feat. H.E.R.)","Breezy (Deluxe)","Chris Brown;H.E.R.",2022-07-08,183133,36,true,br4reja3tf0gpjr6ai9r6z1b6,2024-05-09T01:36:20Z,"r&b","Chris Brown Entertainment/RCA Records",0.605,0.707,9,-7.734,0,0.046,0.0484,0.000122,0.122,0.6,113.772,5
spotify:track:2ldkZNBd7DMEtAApOQPkfY,"Plain Clothes","Pieces of a Man","Mick Jenkins",2018-10-26,231669,30,true,br4reja3tf0gpjr6ai9r6z1b6,2024-06-09T19:29:41Z,"jazz rap","Cinematic Music Group",0.677,0.79,5,-7.642,0,0.126,0.0971,0,0.0778,0.244,74.02,4
spotify:track:2HsadrpAUp28eDIOhR2hPC,"Off The Ground","Venice","Anderson .Paak",2014-10-28,288052,0,true,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T14:17:03Z,"","OBE / EMPIRE",0.653,0.712,7,-7.191,0,0.168,0.812,0.000107,0.149,0.551,183.075,3
