Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0gmYtRyuvRKpd6cCApSDTh,"8701","The Never Story","JID;6LACK",2017-03-10,111809,48,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:18:04Z,"","J. Cole/ DreamVille",0.522,0.636,4,-8.739,0,0.448,0.115,0.00000991,0.142,0.416,174.096,4
spotify:track:4VQNCzfZ3MdHEwwErNXpBo,"All Eyez On Me (ft. Big Syke)","All Eyez On Me","2Pac;Big Syke",1996-02-13,307773,80,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:20:01Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.872,0.723,1,-5.968,1,0.247,0.0293,0,0.327,0.843,93.279,4
spotify:track:5g9lS8deSIxItFBmZRC4vN,"Ambitionz Az A Ridah","All Eyez On Me","2Pac",1996-02-13,278386,78,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:20:10Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Amaru Entertainment, Inc./Interscope Records",0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,4
spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,"Blue World","Circles","Mac Miller",2020-01-17,209440,73,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:20:22Z,"","Warner Records",0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931,4
spotify:track:3n31mf1JGlRxAGwHwx3pDd,"Bruddanem (feat. Lil Durk)","The Forever Story (Extended Version)","JID;Lil Durk",2022-10-31,235423,56,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:21:16Z,"chicago drill,drill","Dreamville/Interscope",0.765,0.501,4,-6.64,0,0.252,0.62,0,0.135,0.721,130.173,4
spotify:track:3pjUyVbFmM96tYhSaKJwTt,"Change","4 Your Eyez Only","J. Cole",2016-12-09,331480,71,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:21:46Z,"rap","J. Cole P&D",0.74,0.523,11,-10.753,0,0.233,0.666,0.00142,0.0968,0.235,97.063,4
spotify:track:4qNijbGeHqlcFWrGrATFOX,"Cheers (feat. Q-Tip)","Oxnard","Anderson .Paak;Q-Tip",2018-11-16,334733,45,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:31:45Z,"east coast hip hop","Aftermath",0.727,0.518,2,-7.825,1,0.396,0.0888,0,0.0893,0.485,88.255,4
spotify:track:2bXNVNDdYvAXxf5f33WHy7,"Cilvia Demo","Cilvia Demo","Isaiah Rashad",2014-01-28,183031,49,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:32:17Z,"","Top Dawg Entertainment",0.602,0.716,8,-5.079,1,0.23,0.689,0,0.32,0.576,83.022,4
spotify:track:65dO13qYabE4LDdQmjU4p6,"Crack Sandwich","The Forever Story (Extended Version)","JID",2022-10-31,297668,55,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:35:47Z,"","Dreamville/Interscope",0.706,0.657,6,-6.515,0,0.365,0.538,0,0.123,0.704,96.284,4
spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,"Deja Vu","4 Your Eyez Only","J. Cole",2016-12-09,264746,69,true,br4reja3tf0gpjr6ai9r6z1b6,2023-11-27T06:39:49Z,"rap","J. Cole P&D",0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,4
