Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0msrDPXxZpts4FRnoX0bFr,"Monks","channel ORANGE","Frank Ocean",2012-07-10,200240,68,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:05:44Z,"","Red Zone Entertainment / IDJ",0.747,0.758,0,-4.743,0,0.179,0.0521,0,0.214,0.601,102.02,4
spotify:track:1E5Xu8dur0fAjSP1VpVhAZ,"Best Friends","Dawn FM","The Weeknd",2022-01-06,163504,62,false,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:06:13Z,"","XO / Republic Records",0.737,0.564,4,-7.045,0,0.105,0.436,0,0.351,0.528,90,4
spotify:track:4fnNBPN9W6AoOYSQS3FJxT,"Notice Me","SOS","SZA",2022-12-09,160920,60,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:14:26Z,"r&b","Top Dawg Entertainment/RCA Records",0.724,0.68,5,-6.822,1,0.117,0.275,0.0000991,0.11,0.777,159.919,4
spotify:track:4hTej08FutmriOs7S1hWWy,"Conceited","SOS","SZA",2022-12-09,151413,62,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:14:43Z,"r&b","Top Dawg Entertainment/RCA Records",0.791,0.458,1,-8.236,1,0.0673,0.0486,0.0000408,0.106,0.772,150.046,4
spotify:track:3CtfBYewF9YoIj4tN1Xuh6,"Find A Way (feat. Lil Baby)","Back of My Mind","H.E.R.;Lil Baby",2021-06-18,197416,38,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:16:15Z,"r&b","MBK Entertainment/RCA Records",0.597,0.663,9,-6.992,1,0.436,0.00733,0,0.0791,0.577,157.544,4
spotify:track:3wFLWP0FcIqHK1wb1CPthQ,"fake smile","thank u, next","Ariana Grande",2019-02-08,208880,63,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:29:14Z,"pop","Republic Records",0.45,0.619,9,-7.412,1,0.373,0.329,0,0.319,0.427,83.221,4
spotify:track:5YeHLHDdQ4nKHk81XFWhCU,"successful","Sweetener","Ariana Grande",2018-08-17,227386,65,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-12T06:35:23Z,"pop","Republic Records",0.847,0.603,0,-4.607,0,0.0397,0.107,0.0000074,0.106,0.735,114.045,4
spotify:track:6Hgh47WXVKtXN5zGOu0hjI,"OTW","OTW","Khalid;6LACK;Ty Dolla $ign",2018-04-20,263013,71,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-14T04:57:29Z,"trap soul","Right Hand Music Group, LLC/RCA Records",0.652,0.678,2,-6.183,1,0.0541,0.183,0.0000326,0.106,0.28,72.989,4
spotify:track:7Fdhp8np9nZhsghO2VIPvJ,"How We Roll","How We Roll","Ciara;Chris Brown",2023-08-04,199512,0,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-14T06:29:32Z,"r&b","Beauty Marks Entertainment, Inc. / Chris Brown appears courtesy of Chris Brown Entertainment, LLC/RCA Records, a division of Sony Music Entertainment",0.777,0.631,8,-5.649,0,0.0612,0.183,0.0000044,0.119,0.337,96.015,4
spotify:track:6eT2V7nKXyMf47TwPbtgAD,"Seek & Destroy","SOS","SZA",2022-12-09,203733,65,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-14T06:52:43Z,"r&b","Top Dawg Entertainment/RCA Records",0.651,0.647,1,-5.415,1,0.0654,0.437,0.175,0.205,0.345,152.069,4
spotify:track:29sEmSIzC0w4DuGInHM8yN,"Closure (feat. H.E.R.)","Breezy (Deluxe)","Chris Brown;H.E.R.",2022-07-08,183133,36,true,br4reja3tf0gpjr6ai9r6z1b6,2023-08-15T05:47:44Z,"r&b","Chris Brown Entertainment/RCA Records",0.605,0.707,9,-7.734,0,0.046,0.0484,0.000122,0.122,0.6,113.772,5
spotify:track:7kwQdjMOQqS4A85kKTWDHo,"Show It (feat. Blxst)","Breezy (Deluxe)","Chris Brown;Blxst",2022-07-08,190413,35,false,br4reja3tf0gpjr6ai9r6z1b6,2023-08-15T06:01:14Z,"r&b","Chris Brown Entertainment/RCA Records",0.417,0.66,5,-7.292,1,0.242,0.00928,0.00000283,0.1,0.415,95.941,4
spotify:track:1rJUbH0v2E8t1GY4OAUTeC,"City Girls","Slime & B","Chris Brown;Young Thug",2020-05-08,230253,62,true,br4reja3tf0gpjr6ai9r6z1b6,2023-09-30T23:24:33Z,"r&b,rap,melodic rap,trap","Chris Brown Entertainment/300 Entertainment/RCA Records",0.752,0.586,7,-7.896,0,0.071,0.0465,0,0.0554,0.815,92.033,4
spotify:track:2iezHdu9xLOvCkb8LW3FtU,"Need You Right Here (feat. Bryson Tiller)","Breezy (Deluxe)","Chris Brown;Bryson Tiller",2022-07-08,191160,36,true,br4reja3tf0gpjr6ai9r6z1b6,2023-10-02T04:58:16Z,"r&b,trap soul","Chris Brown Entertainment/RCA Records",0.68,0.521,9,-8.59,1,0.0572,0.0363,0,0.131,0.115,91.851,4
spotify:track:3TTMUI5dFcbeNSDTTDY9M8,"Come Thru (with Usher)","Over It","Summer Walker;USHER",2019-10-04,181013,66,true,br4reja3tf0gpjr6ai9r6z1b6,2023-10-29T08:07:17Z,"r&b","LVRN/Interscope Records",0.679,0.728,5,-3.092,0,0.154,0.159,0,0.107,0.46,152.001,4
spotify:track:1IRU2kqvCmmySoB0ywJTmI,"Come Together (feat. H.E.R.)","Indigo","Chris Brown;H.E.R.",2019-06-28,234146,61,false,br4reja3tf0gpjr6ai9r6z1b6,2023-12-08T06:59:27Z,"r&b","Chris Brown Entertainment/RCA Records",0.505,0.597,3,-6.21,0,0.0691,0.0725,0,0.0954,0.241,82.137,4
spotify:track:0J1YRLYhTG1MBosjidD7OI,"Good Good","Good Good","USHER;Summer Walker;21 Savage",2023-08-04,247100,58,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-27T06:38:25Z,"r&b","mega/gamma.",0.744,0.677,7,-4.819,0,0.108,0.0388,0,0.106,0.57,140.991,4
