Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:local:Kendrick+Lamar:Westside%2C+Right+on+Time:Westside%2C+Right+on+Time+%28feat.+Young+Jeezy%29:285,"Westside, Right on Time (feat. Young Jeezy)","Westside, Right on Time","Kendrick Lamar",,285000,0,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:35:11Z,"","undefined",,,,,,,,,,,,
spotify:local:Capital+STEEZ:AmeriKKKan+Korruption%3A+Reloaded:Free+the+Robots:169,"Free the Robots","AmeriKKKan Korruption: Reloaded","Capital STEEZ",,169000,0,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:35:26Z,"","undefined",,,,,,,,,,,,
spotify:local:Kendrick+Lamar:Section.80:The+Spiteful+Chant:321,"The Spiteful Chant","Section.80","Kendrick Lamar",,321000,0,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:36:25Z,"","undefined",,,,,,,,,,,,
spotify:track:2tQM1BUrXp2kqOM6mN11TC,"Mr. Carter","Tha Carter III","Lil Wayne;JAŸ-Z",2008-06-10,316266,57,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:36:36Z,"rap,hip hop,east coast hip hop","CM/Republic",0.485,0.71,7,-6.288,1,0.364,0.0444,0,0.35,0.473,170.942,4
spotify:local:JID:Early+In+The+Morning:Early+In+The+Morning:240,"Early In The Morning","Early In The Morning","JID",,240000,0,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:36:42Z,"","undefined",,,,,,,,,,,,
spotify:track:7kSeDjs0LC2aZ29W3quUat,"GOD, MY BIG HOMIE.","LONERWRLD, vol 2","jev.",2025-09-30,131200,37,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:37:59Z,"jazz rap","LONER inc.",0.72,0.82,10,-4.104,1,0.105,0.113,0,0.0588,0.654,149.909,4
spotify:track:05VHidqx1tV6V7MsCdAIby,"Lucifer","The Black Album","JAŸ-Z",2003-11-14,192040,57,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:38:58Z,"hip hop,east coast hip hop,rap","Roc Nation / Jay-Z",0.551,0.927,6,-2.263,0,0.43,0.0508,0,0.0739,0.839,171.4,4
spotify:track:2hplcKUnz9EuePPNiz2FRH,"Glory","God Does Like Ugly","JID",2025-08-08,239566,55,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:39:46Z,"","Dreamville/Interscope Records",0.54,0.907,1,-4.362,1,0.366,0.179,0,0.138,0.593,97.694,4
spotify:track:6eGWfTWDI764YbUeI9dswF,"Behold","GDLU (Preluxe)","JID",2025-07-04,155542,45,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:39:57Z,"","Dreamville/Interscope Records",0.571,0.569,1,-5.811,1,0.117,0.125,0,0.164,0.0838,146.001,4
spotify:track:2eOOS21zWVhj2YuEgo6E3x,"Wars & Rumors of Wars (Freestyle)","Wars & Rumors of Wars (Freestyle)","Mick Jenkins",2025-02-12,144000,35,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:41:30Z,"jazz rap","Mick Jenkin inc",0.73,0.745,2,-6.97,1,0.3,0.0865,0,0.135,0.2,75.037,4
spotify:track:0FY3vXZ380Pf8PORU9VrKE,"Grip 3:16","Proboscidea","GRIP",2020-10-06,163143,2,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:41:36Z,"","STRAY SOCIETY",0.641,0.661,6,-7.303,1,0.274,0.0784,0,0.192,0.493,79.549,4
spotify:track:5sqHFfmw7MMc1L85BN8802,"THat Part - Black Hippy Remix","THat Part (Black Hippy Remix)","ScHoolboy Q",2016-07-16,288525,47,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:41:47Z,"","Schoolboy Q",0.892,0.548,6,-8.449,0,0.33,0.139,0,0.114,0.262,112.962,4
spotify:track:0RgjEkSbeuStKfT2Pa4Zai,"reincarnated","GNX","Kendrick Lamar",2024-11-22,275740,69,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:42:04Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.846,0.779,7,-5.363,1,0.254,0.0534,0,0.299,0.748,91.118,4
spotify:track:2aYHxnMF2umAavtgBvmkY1,"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","CHROMAKOPIA","Tyler, The Creator;ScHoolboy Q;Santigold",2024-10-28,207273,73,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:42:29Z,"","Columbia",0.77,0.859,10,-3.382,0,0.275,0.362,0,0.673,0.64,129.77,4
spotify:track:6jvyOxDcBPyvdCbBqSvb9F,"29 (Freestyle)","29 (Freestyle)","JID",2022-07-05,142282,40,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:42:35Z,"","Dreamville/Interscope",0.876,0.836,10,-4.385,0,0.258,0.0121,0.000137,0.0949,0.672,108.018,5
spotify:track:0GTzZhS8P50p922OEuoNLF,"Westbrook (with A$AP Ferg)","DiCaprio 2","JID;A$AP Ferg",2018-11-26,237297,48,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:43:27Z,"rap","J. Cole/ DreamVille",0.621,0.779,1,-4.354,1,0.406,0.0454,0,0.0479,0.432,90.722,3
spotify:track:35tWhD29yvWwB0IDRr6zsL,"Yeah Right","Big Fish Theory","Vince Staples",2017-06-23,188946,52,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-20T15:45:39Z,"","Def Jam Recordings",0.734,0.468,1,-9.029,1,0.0912,0.018,0,0.382,0.285,118,4
