Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4QhWbupniDd44EDtnh2bFJ,"Pyramids","channel ORANGE","Frank Ocean",2012-07-10,592920,80,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:50:49Z,"","Red Zone Entertainment / IDJ",0.4,0.65,5,-6.104,0,0.0466,0.0118,0.0000762,0.791,0.15,107.989,4
spotify:track:7eqoqGkKwgOaWNNHx90uEZ,"Nights","Blonde","Frank Ocean",2016-08-20,307151,83,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.457,0.551,5,-9.36,0,0.167,0.427,0.00000115,0.113,0.428,89.87,4
spotify:track:3xKsf9qdS1CyvXSMEid6g8,"Pink + White","Blonde","Frank Ocean",2016-08-20,184516,86,false,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
spotify:track:5lcyIeEfwZTs8Ajw3kdF7P,"Crack Rock","channel ORANGE","Frank Ocean",2012-07-10,224146,74,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:50:49Z,"","Red Zone Entertainment / IDJ",0.429,0.736,5,-8.017,1,0.222,0.0696,0,0.0852,0.379,89.262,4
spotify:track:2ZWlPOoWh0626oTaHrnl2a,"Ivy","Blonde","Frank Ocean",2016-08-20,249191,83,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.575,0.386,9,-9.584,0,0.037,0.785,0.000289,0.229,0.466,116.408,4
spotify:track:1fOkmYW3ZFkkjIdOZSf596,"Pink Matter","channel ORANGE","Frank Ocean;André 3000",2012-07-10,268813,81,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:50:49Z,"ambient jazz","Red Zone Entertainment / IDJ",0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,3
spotify:track:5GUYJTQap5F3RDQiCOJhrS,"Self Control","Blonde","Frank Ocean",2016-08-20,249667,77,false,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
spotify:track:1HwbgJAU9PZ7YbzKgVgoIF,"Sierra Leone","channel ORANGE","Frank Ocean",2012-07-10,148760,67,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:50:49Z,"","Red Zone Entertainment / IDJ",0.529,0.608,7,-7.809,1,0.0811,0.166,0.0185,0.109,0.616,125.017,4
spotify:track:2LMkwUfqC6S6s6qDVlEuzV,"White Ferrari","Blonde","Frank Ocean",2016-08-20,248807,85,false,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.501,0.0958,0,-15.605,1,0.0433,0.77,0,0.298,0.204,108.741,4
spotify:track:4osgfFTICMkcGbbigdsa53,"Novacane","Novacane","Frank Ocean",2011-01-01,302346,83,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:12Z,"","Red Zone Entertainment / IDJ",0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,4
spotify:track:34xTFwjPQ1dC6uJmleno7x,"Godspeed","Blonde","Frank Ocean",2016-08-20,177922,78,false,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.399,0.0969,6,-12.578,1,0.0509,0.929,0.000168,0.121,0.0758,109.54,4
spotify:track:19YKaevk2bce4odJkP5L22,"Nikes","Blonde","Frank Ocean",2016-08-20,314075,70,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:51:05Z,"","Boys Don't Cry",0.633,0.395,8,-9.638,1,0.0857,0.692,0.000222,0.108,0.123,138.023,4
spotify:track:3GZD6HmiNUhxXYf8Gch723,"Lost","channel ORANGE","Frank Ocean",2012-07-10,234093,84,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T05:50:49Z,"","Red Zone Entertainment / IDJ",0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,4
