Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,"Nobody Gets Me","SOS","SZA",2022-12-09,180853,84,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-20T06:40:49Z,"r&b","Top Dawg Entertainment/RCA Records",0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,3
spotify:track:0Aa3g9EQoPNt6PiKjaUeb7,"Every Kind Of Way","H.E.R.","H.E.R.",2017-10-20,160172,66,false,br4reja3tf0gpjr6ai9r6z1b6,2023-01-06T05:41:19Z,"r&b","MBK Entertainment/RCA Records",0.416,0.298,7,-8.499,1,0.0442,0.635,0.00000216,0.136,0.191,95.386,4
spotify:track:5oO3drDxtziYU2H1X23ZIp,"Love On The Brain","ANTI (Deluxe)","Rihanna",2016-01-28,224000,88,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-20T06:47:04Z,"","Roc Nation / Rihanna",0.509,0.637,4,-4.83,0,0.047,0.0717,0.0000108,0.0789,0.379,172.007,3
spotify:track:4frLb7nWtsz2ymBE6k2GRP,"Earned It (Fifty Shades Of Grey)","Beauty Behind The Madness","The Weeknd",2015-08-28,277680,75,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-23T05:20:07Z,"","The Weeknd/Lyric",0.657,0.291,2,-8.275,0,0.0348,0.405,0,0.0771,0.405,119.782,3
spotify:track:161DnLWsx1i3u1JT05lzqU,"Talking to the Moon","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,217866,84,false,br4reja3tf0gpjr6ai9r6z1b6,2023-01-23T05:52:56Z,"","Atlantic Records",0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,4
spotify:track:6zyXhzPJg7dCGuC5ToIxqN,"Silicon Valley","Malibu","Anderson .Paak",2016-01-15,244840,44,true,br4reja3tf0gpjr6ai9r6z1b6,2023-02-10T05:32:58Z,"","OBE / Apeshit, Inc / EMPIRE",0.545,0.451,3,-9.166,0,0.194,0.302,0,0.382,0.502,115.21,4
spotify:track:0kN8xEmgMW9mh7UmDYHlJP,"Versace on the Floor","24K Magic","Bruno Mars",2016-11-18,261240,83,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-13T06:18:18Z,"","Atlantic Records",0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,4
spotify:track:4BGZF4oLbTL0pWm7C18pbv,"Scared To Live","After Hours","The Weeknd",2020-03-20,191306,62,true,br4reja3tf0gpjr6ai9r6z1b6,2023-03-08T20:20:58Z,"","Republic Records",0.488,0.498,0,-8.24,1,0.0479,0.131,0,0.0929,0.198,87.419,4
spotify:track:7gh2v4IHnxdiwSgA6xluhe,"Through the Fire","I Feel for You","Chaka Khan",1984,288653,66,false,br4reja3tf0gpjr6ai9r6z1b6,2023-11-02T05:15:32Z,"","Rhino/Warner Records",0.563,0.593,8,-7.099,1,0.0322,0.192,0.0000185,0.145,0.428,130.744,4
spotify:track:5f7UJCMrA1VRLvbPrq1h0G,"Put On A Smile","An Evening With Silk Sonic","Bruno Mars;Anderson .Paak;Silk Sonic",2021-11-11,255455,63,false,br4reja3tf0gpjr6ai9r6z1b6,2023-11-02T05:32:56Z,"","Aftermath Entertainment/Atlantic",0.548,0.627,9,-8.949,1,0.0409,0.0471,0,0.285,0.493,143.994,4
spotify:track:7b8aKAUn1BB2k1clevj4aB,"Yeah - bonus","Faces","Mac Miller",2021-10-15,304192,55,true,br4reja3tf0gpjr6ai9r6z1b6,2023-12-01T05:59:09Z,"","Warner Records",0.511,0.793,8,-5.231,1,0.072,0.139,0.00000806,0.205,0.146,148.082,4
spotify:track:6xWoRNrT0nckMqq6yGtTNH,"Rather Be","H.E.R.","H.E.R.",2017-10-20,188810,43,false,br4reja3tf0gpjr6ai9r6z1b6,2024-02-14T06:46:35Z,"r&b","MBK Entertainment/RCA Records",0.525,0.589,8,-8.224,0,0.0439,0.186,0.0000117,0.103,0.156,95.05,4
spotify:track:6XXKB32Om6WuXg3uEWwTob,"imperfect for you","eternal sunshine","Ariana Grande",2024-03-08,182566,67,true,br4reja3tf0gpjr6ai9r6z1b6,2024-03-08T06:56:41Z,"pop","Republic Records",0.624,0.38,4,-7.426,1,0.0301,0.496,0,0.437,0.251,150.14,3
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga;Bruno Mars",2024-08-16,251667,91,false,br4reja3tf0gpjr6ai9r6z1b6,2024-11-11T17:36:19Z,"art pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:0RUGuh2uSNFJpGMSsD1F5C,"It Will Rain","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)","Bruno Mars",2011-11-04,257720,77,false,br4reja3tf0gpjr6ai9r6z1b6,2024-12-17T17:14:16Z,"","Chop Shop/Atlantic",0.576,0.835,2,-6.826,1,0.0486,0.337,0,0.082,0.476,150.017,4
