Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6LBpGdlukUARutol7VgWIS,"January 28th","2014 Forest Hills Drive","J. Cole",2014-12-09,242697,70,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:13:35Z,"rap","Roc Nation Records LLC",0.597,0.568,5,-8.559,1,0.342,0.242,0,0.0838,0.342,84.052,4
spotify:track:4E2fOeF5A6onC10OtnjXJa,"Trae The Truth in Ibiza","Might Delete Later","J. Cole",2024-04-05,255440,66,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T13:40:29Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.488,0.586,7,-7.868,1,0.0987,0.121,0,0.354,0.533,158.405,3
spotify:track:5lLNBIyjp72btcnrjBG751,"t h e . c l i m b . b a c k","The Off-Season","J. Cole",2021-05-14,306257,61,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T13:29:48Z,"rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.618,0.632,11,-6.973,1,0.346,0.0526,0,0.353,0.319,81.446,4
spotify:track:52A8OAP8lTQKZCj4Rce92B,"A Tale Of 2 Citiez","2014 Forest Hills Drive","J. Cole",2014-12-09,269721,65,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:13:35Z,"rap","Roc Nation Records LLC",0.771,0.536,11,-8.534,1,0.323,0.553,0.00000105,0.294,0.343,94.995,4
spotify:track:5isZz9H9yWJgOjFxrTeZm6,"Before I'm Gone","Friday Night Lights","J. Cole",2010-11-12,263765,58,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T07:30:35Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.592,0.882,1,-7.083,0,0.206,0.182,0.0000399,0.166,0.476,87.137,4
spotify:track:1vvnYpYEMVB4aq9I6tHIEB,"4 Your Eyez Only","4 Your Eyez Only","J. Cole",2016-12-09,530253,66,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:52:34Z,"rap","J. Cole P&D",0.701,0.485,11,-10.305,0,0.364,0.367,0.0000631,0.0852,0.496,78.863,4
spotify:track:2e3Ea0o24lReQFR4FA7yXH,"Love Yourz","2014 Forest Hills Drive","J. Cole",2014-12-09,211496,77,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:13:35Z,"rap","Roc Nation Records LLC",0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,4
spotify:track:6AGON2BGdPmPMJGiiNuuwl,"Immortal","4 Your Eyez Only","J. Cole",2016-12-09,201666,64,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:52:34Z,"rap","J. Cole P&D",0.744,0.43,3,-10.604,0,0.309,0.455,0.00000273,0.126,0.266,92.039,4
spotify:track:77Moue1sbLtdQFFSNt5evh,"Hold It Down","The Warm Up","J. Cole",2009-06-15,255453,45,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T06:35:06Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.657,0.826,7,-7.679,1,0.192,0.0217,0,0.287,0.457,82.992,4
spotify:track:6sf35vqrEAN8fOFzrKmv9A,"Fire Squad","2014 Forest Hills Drive","J. Cole",2014-12-09,288123,65,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:13:35Z,"rap","Roc Nation Records LLC",0.551,0.755,11,-7.053,1,0.419,0.279,0,0.508,0.574,175.895,4
spotify:track:68Dni7IE4VyPkTOH9mRWHr,"No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,87,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T11:13:35Z,"rap","Roc Nation Records LLC",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
spotify:track:0GAyuCo975IHGxxiLKDufB,"l e t . g o . m y . h a n d (with Bas & 6LACK)","The Off-Season","J. Cole;Bas;6LACK",2021-05-14,266291,63,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T13:29:48Z,"rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.583,0.625,1,-8.011,1,0.277,0.506,0,0.196,0.516,89.812,4
spotify:track:3v6oMGduetl7GA67POX9Dm,"Too Deep for the Intro","Friday Night Lights","J. Cole",2010-11-12,225247,65,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T07:30:35Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.585,0.731,5,-7.111,0,0.23,0.507,0.0000239,0.0978,0.703,153.442,4
spotify:track:1tTKy8pW1dMaXJm7bYrSzA,"Stickz N Stonez","Might Delete Later","J. Cole",2024-04-05,200786,57,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-17T13:40:29Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.535,0.726,4,-6.515,0,0.386,0.194,0,0.311,0.471,77.238,4
