Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0eGrwX4kf5sV1faR5tZDp3,"Darlin'","Darlin'","tobi lou",2018-04-23,205090,45,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-02T03:46:54Z,"","Artclub / EMPIRE",0.866,0.388,9,-11.009,1,0.32,0.571,0,0.1,0.556,109.976,4
spotify:track:1nDOeWBfRKA5YNQ8bKWzMM,"head first","head first","Christian French",2019-05-17,154960,51,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-02T03:53:08Z,"","Disruptor Records/RCA Records",0.909,0.392,6,-6.221,0,0.0652,0.278,0.00000177,0.106,0.61,127.052,4
spotify:track:3jIUcNxBowyf8clrQ9bPIy,"West Coast","Astronaut Complex","Alt Bloom",2020-06-12,167506,37,false,br4reja3tf0gpjr6ai9r6z1b6,2022-08-31T04:45:57Z,"pop singer-songwriter","BigMTN Records",0.706,0.602,7,-5.701,1,0.286,0.234,0.0000378,0.0874,0.732,78.984,4
spotify:track:7JdarpX08FLhmfNZpxqgUO,"RACECAR","WELCOME HOME","Aries",2019-04-18,157435,0,true,br4reja3tf0gpjr6ai9r6z1b6,2022-10-29T06:10:06Z,"","WUNDERWORLD",0.708,0.729,8,-7.618,1,0.0311,0.0675,0,0.165,0.562,117.003,4
spotify:track:18LhA0zBzAa2YnhcN3hWGa,"High Right Now","Heart Full of Rage","Tyla Yaweh",2019-02-22,163167,50,true,br4reja3tf0gpjr6ai9r6z1b6,2022-10-29T06:12:33Z,"melodic rap","Epic/London Ent.",0.703,0.557,4,-6.798,0,0.0438,0.0116,0.0000985,0.12,0.127,159.985,4
spotify:track:4ve2uzqdwnHr20G5YgMMqr,"Missin You Crazy","ZOO","Russ",2018-09-07,226693,64,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-02T04:10:33Z,"","Columbia",0.716,0.729,5,-6.313,1,0.117,0.0991,0,0.0842,0.276,131.975,4
spotify:track:0KfNomDfIkM7suIHb105Oi,"Wave of You","Pacifico","Surfaces",2021-06-25,213842,0,false,br4reja3tf0gpjr6ai9r6z1b6,2022-09-07T03:36:00Z,"","Surfaces Music / 10K Projects",0.695,0.656,1,-6.038,1,0.0489,0.057,0,0.267,0.346,90.986,4
spotify:track:3qQPwfZWS2LIkK1qlDjoOs,"Gone","Gone","THAT DUDE DAX",2020-06-01,172041,39,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-02T04:13:46Z,"","2149890 Records DK",0.897,0.649,11,-8.355,0,0.206,0.0844,0,0.115,0.519,119.94,4
spotify:track:0CF0U2FtLvWRB9K5Ol5gfm,"Golden Hour","Golden Hour","HRVY",2022-01-07,158386,0,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-02T04:21:26Z,"","BMG Rights Management (UK) Limited",0.757,0.457,8,-6.18,1,0.26,0.103,0,0.0869,0.876,112.861,4
spotify:track:4RtexJZ1OyRkDNlqVUt8Zt,"Panama","Panama","Quinn XCII",2018-08-27,247293,41,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-03T03:56:00Z,"","Columbia",0.73,0.494,10,-6.402,1,0.0565,0.57,0,0.158,0.561,86.732,4
spotify:track:7yHqOZfsXYlicyoMt62yC6,"Heaven Falls / Fall on Me","Heaven Falls / Fall on Me","Surfaces",2018-08-24,240597,55,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-03T03:56:48Z,"","Surfaces Music",0.563,0.366,11,-6.896,0,0.121,0.36,0.00243,0.0955,0.768,85.352,4
spotify:track:4JnX8tY9me7jHqDwgifhwU,"RIDING","BELIEVE IN ME, WHO BELIEVES IN YOU","Aries",2021-11-12,145867,46,true,br4reja3tf0gpjr6ai9r6z1b6,2022-08-31T05:06:49Z,"","WUNDERWORLD",0.777,0.702,4,-6.374,0,0.041,0.0308,0,0.0804,0.569,121.016,4
spotify:track:3lRhAvgOzmzHOXqzbNJduS,"Overrated","B.L.I.S.S.","Souly Had",2019-08-16,166600,31,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-03T03:58:56Z,"","Island Records",0.841,0.605,6,-6.934,0,0.0499,0.192,0,0.0858,0.801,140.939,4
spotify:track:26OhjtaTamFocE08t83ml6,"Psycho, Pt. 2","Psycho, Pt. 2","Russ",2016-11-08,161985,66,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-03T04:02:34Z,"","Russ My Way Inc",0.766,0.548,10,-4.29,1,0.235,0.775,0.00000557,0.1,0.424,82.944,4
spotify:track:1o18Q8p5JfjVhDxTZwfGKu,"Keep It Gold","Horizons","Surfaces",2020-02-28,247813,0,false,br4reja3tf0gpjr6ai9r6z1b6,2022-06-02T06:08:30Z,"","Surfaces Music / TenThousand Projects, LLC",0.786,0.674,11,-6.694,1,0.0399,0.0507,0,0.286,0.637,104.998,4
spotify:track:6kXRxtfp7GfittuiOISi5x,"Natalina","Natalina","Toddy Smith",2020-02-14,142908,33,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-03T04:04:07Z,"","If You Consider This Art",0.682,0.603,9,-4.468,0,0.0671,0.0776,0.000865,0.136,0.394,83.991,4
spotify:track:1linNZQ3oACmNtlmxrKEPo,"Backwards","Effortless","Forrest.",2020-08-21,173283,0,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-14T05:19:10Z,"","Forrest.",0.865,0.517,0,-6.746,1,0.131,0.129,0.0000183,0.134,0.772,83.018,4
