Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0oaeEf47JmM6s6uVsvmMhr,"Welcome Home","Zelda & Chill III","Mikel;GameChops",2022-10-28,172965,37,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.738,0.387,7,-11.519,1,0.0485,0.656,0.942,0.0619,0.279,157.995,4
spotify:track:2QtUQGSRmsnt9gDPPsZifR,"Hyrule Field","Zelda & Chill III","Mikel;GameChops",2022-10-28,151578,36,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.799,0.607,11,-10.076,0,0.0889,0.563,0.962,0.112,0.598,133.023,4
spotify:track:5IoeHKg790XVmPg1KlWFcN,"Kokiri Forest","Zelda & Chill III","Mikel;GameChops",2022-10-28,155991,36,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.711,0.668,7,-10.172,1,0.0846,0.373,0.91,0.0707,0.57,75.999,4
spotify:track:77UtKoMmuzuIEVgIXgXwPR,"Link's Awakening","Zelda & Chill III","Mikel;GameChops",2022-10-28,160310,37,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.855,0.435,2,-13.068,1,0.116,0.227,0.707,0.0899,0.639,156.01,4
spotify:track:3dbRsCiMZxtKDCwjaYHpwl,"Temple of Time","Zelda & Chill III","Mikel;GameChops",2022-10-28,148468,37,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.721,0.308,9,-10.562,0,0.07,0.437,0.927,0.0851,0.655,82.984,4
spotify:track:4Hji9XAnkx6QXfaVaQMdpI,"Hyrule Castle II","Zelda & Chill III","Mikel;GameChops",2022-10-28,172222,35,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.894,0.381,7,-10.349,0,0.0808,0.19,0.66,0.104,0.432,81.001,4
spotify:track:6uCkOaSpirAfA4sc32lWtF,"Final Hours","Zelda & Chill III","Mikel;GameChops",2022-10-28,179536,36,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.704,0.444,7,-8.771,0,0.0562,0.699,0.903,0.0895,0.647,148.015,4
spotify:track:65d1bNxxxfISe2yzNseDnF,"Mipha's Theme","Zelda & Chill III","Mikel;GameChops",2022-10-28,160688,39,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.772,0.303,9,-9.793,0,0.0559,0.581,0.916,0.101,0.397,82.008,4
spotify:track:7wdeiWI15jBYS2iNSQ5Fvg,"Tears of the Kingdom","Zelda & Chill III","Mikel;GameChops",2022-10-28,210000,38,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.722,0.367,0,-11.117,1,0.0462,0.371,0.855,0.142,0.377,80.005,4
spotify:track:5LMgszOVJuRlvwtQXKBV6T,"Legend of Lorule","Zelda & Chill III","Mikel;GameChops",2022-10-28,165372,37,false,br4reja3tf0gpjr6ai9r6z1b6,2023-02-22T07:00:46Z,"lo-fi","GameChops",0.846,0.295,9,-14.137,0,0.159,0.751,0.869,0.107,0.465,75.008,4
