Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,"Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,80,true,br4reja3tf0gpjr6ai9r6z1b6,2022-08-14T08:40:53Z,"hip hop,west coast hip hop","Aftermath",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
spotify:track:6HZILIRieu8S0iqY8kIKhj,"DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,79,true,br4reja3tf0gpjr6ai9r6z1b6,2022-08-14T08:41:56Z,"hip hop,west coast hip hop","Aftermath",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
spotify:track:7KXjTSCq5nL1LoYtL7XAwS,"HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,84,true,br4reja3tf0gpjr6ai9r6z1b6,2022-08-14T08:43:17Z,"hip hop,west coast hip hop","Aftermath",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
spotify:track:1D3z6HTiQsNmZxjl7F7eoG,"m y . l i f e (with 21 Savage & Morray)","The Off-Season","J. Cole;21 Savage;Morray",2021-05-14,218801,72,true,br4reja3tf0gpjr6ai9r6z1b6,2022-08-24T12:48:18Z,"rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,4
spotify:track:3j84U36KvLeXNDPv4t5pI8,"Pure Water (with Migos)","Perfect Ten","Mustard;Migos",2019-06-28,192470,74,true,br4reja3tf0gpjr6ai9r6z1b6,2022-11-30T18:19:57Z,"trap","10 Summers Records/Interscope Records",0.68,0.559,0,-5.545,1,0.127,0.177,0,0.344,0.135,202.018,4
spotify:track:68Dni7IE4VyPkTOH9mRWHr,"No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,87,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-01T19:25:27Z,"rap","Roc Nation Records LLC",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
spotify:track:6MF4tRr5lU8qok8IKaFOBE,"Under The Sun (with J. Cole & Lute feat. DaBaby)","Revenge Of The Dreamers III","Dreamville;J. Cole;Lute;DaBaby",2019-07-05,202040,70,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-05T05:19:39Z,"rap","Dreamville/Interscope Records",0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,4
spotify:track:2KLwPaRDOB87XOYAT2fgxh,"Pussy & Millions (feat. Travis Scott)","Her Loss","Drake;21 Savage;Travis Scott",2022-11-04,242026,69,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-05T06:16:33Z,"rap","OVO / Republic Records",0.747,0.618,4,-6.685,0,0.111,0.061,0,0.377,0.377,122.09,4
spotify:track:2JvzF1RMd7lE3KmFlsyZD8,"MIDDLE CHILD","MIDDLE CHILD","J. Cole",2019-01-23,213593,78,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-05T06:29:23Z,"rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
spotify:track:6urLjX35oXXRYtcH1b3dCh,"Dubai Shit","Huncho Jack, Jack Huncho","Huncho Jack;Travis Scott;Quavo;Offset",2017-12-21,228431,58,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-07T05:57:56Z,"rap","Quality Control Music - Epic",0.774,0.529,5,-4.479,0,0.0532,0.0674,0,0.0814,0.227,138.072,4
spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West;Jamie Foxx",2005-08-30,207626,80,true,br4reja3tf0gpjr6ai9r6z1b6,2022-12-12T08:17:16Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
spotify:track:6ScJMrlpiLfZUGtWp4QIVt,"A Milli","Tha Carter III","Lil Wayne",2008-06-10,221840,70,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-03T20:16:46Z,"rap,hip hop","CM/Republic",0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,4
spotify:track:3aGibUHhQyBsyumYHylw0K,"Backseat Freestyle","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012,212653,67,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-03T20:21:27Z,"hip hop,west coast hip hop","Aftermath",0.547,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.645,77.878,4
spotify:track:5ry2OE6R2zPQFDO85XkgRb,"Money In The Grave (Drake ft. Rick Ross)","The Best In The World Pack","Drake;Rick Ross",2019-06-15,205426,75,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-05T23:08:26Z,"rap,southern hip hop","Republic Records",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
spotify:track:7ngdkrVQPgP3AoIxUrTpHT,"Who Do You Love?","My Krazy Life","YG;Drake",2014-03-18,233515,69,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-06T05:47:23Z,"rap","Def Jam Recordings",0.68,0.411,9,-9.761,1,0.434,0.0336,0,0.0889,0.161,193.131,4
spotify:track:7GvKDZP30uHX0p8y3Kn6BM,"Brother's Keeper (feat. Pusha T)","Oxnard","Anderson .Paak;Pusha T",2018-11-16,254280,37,true,br4reja3tf0gpjr6ai9r6z1b6,2023-01-30T00:14:23Z,"","Aftermath",0.661,0.773,9,-6.809,0,0.0839,0.00127,0.00000566,0.117,0.318,106.852,4
spotify:track:2cDCojn6uIBM6A5xTAbl3H,"m.A.A.d city","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;MC Eiht",2012,350120,63,true,br4reja3tf0gpjr6ai9r6z1b6,2023-02-02T05:28:37Z,"hip hop,west coast hip hop,g-funk,gangster rap","Aftermath",0.487,0.729,2,-6.815,1,0.271,0.0538,0.00000409,0.44,0.217,91.066,4
spotify:track:1wf4LnpdAhLaoI2WwYDKAE,"Compton","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar;Dr. Dre",2012,248093,53,true,br4reja3tf0gpjr6ai9r6z1b6,2023-02-16T06:15:43Z,"hip hop,west coast hip hop,old school hip hop,g-funk,gangster rap,rap","Aftermath",0.341,0.907,1,-4.425,0,0.419,0.0815,0,0.383,0.224,170.757,4
spotify:track:6SwRhMLwNqEi6alNPVG00n,"LOYALTY. FEAT. RIHANNA.","DAMN.","Kendrick Lamar;Rihanna",2017-04-14,227360,76,true,br4reja3tf0gpjr6ai9r6z1b6,2023-03-02T06:00:29Z,"hip hop,west coast hip hop","Aftermath",0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,4
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,"Superhero (Heroes & Villains) [with Future & Chris Brown]","HEROES & VILLAINS","Metro Boomin;Future;Chris Brown",2022-12-02,182666,78,true,br4reja3tf0gpjr6ai9r6z1b6,2023-03-06T05:44:03Z,"rap,r&b","Republic Records",0.709,0.583,5,-5.298,0,0.204,0.138,0.00000297,0.195,0.533,116.624,4
