Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6KCiWCSgwGotkzlcNb8ukO,"Waves","Venice","Anderson .Paak",2014-10-28,26566,0,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.419,0.703,7,-17.318,1,0.564,0.142,0.93,0.154,0.329,160.163,4
spotify:track:00skWJ8NVd2eEoMIbQBEps,"Milk N' Honey","Venice","Anderson .Paak",2014-10-28,258272,35,true,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.664,0.746,7,-5.174,1,0.304,0.0227,0,0.144,0.509,79.525,4
spotify:track:5TWDcP0miYsQh7ePHuuOcK,"The City","Venice","Anderson .Paak",2014-10-28,214230,35,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.672,0.732,0,-5.96,1,0.247,0.442,0,0.441,0.506,94.016,4
spotify:track:56x2jRVYRWsZvkFpFXLOBV,"Might Be","Venice","Anderson .Paak",2014-10-28,237165,49,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.683,0.585,2,-7.599,1,0.0728,0.361,0.00000137,0.727,0.337,148.51,4
spotify:track:3MpkTjPgEWQ7fHVt6odpBr,"Miss Right","Venice","Anderson .Paak",2014-10-28,198713,41,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.819,0.521,10,-7.328,0,0.216,0.00344,0.366,0.204,0.715,96.419,4
spotify:track:0uihsA5Tex0wABvXPlXjOH,"Put You On","Venice","Anderson .Paak",2014-10-28,163735,31,true,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.597,0.884,2,-5.566,0,0.0521,0.368,0.0000105,0.0953,0.454,156.965,4
spotify:track:1R31tpwFjbzVvPuw5bOVgH,"Already (feat. SiR)","Venice","Anderson .Paak;SiR",2014-10-28,194011,44,true,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"alternative r&b,neo soul","Giant Music",0.506,0.671,6,-5.802,0,0.308,0.0706,0.00846,0.765,0.482,75.273,4
spotify:track:12UBJRHVidnNIQTHyldcfL,"Dogtown","Venice","Anderson .Paak",2014-10-28,26801,0,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.514,0.927,2,-16.229,1,0.545,0.679,0.0053,0.199,0.0313,52.549,4
spotify:track:1kIVUKFiEa1IPTF2eYj588,"I Miss That Whip","Venice","Anderson .Paak",2014-10-28,188839,32,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.567,0.563,8,-6.122,1,0.0839,0.128,0.000385,0.0987,0.42,94.365,4
spotify:track:5SDbfHZpHHmqpfK39vCfHG,"Get 'Em Up","Venice","Anderson .Paak",2014-10-28,248659,33,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-08T16:39:41Z,"","Giant Music",0.679,0.567,9,-7.108,0,0.0348,0.189,0.000696,0.637,0.512,140.038,4
