Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6dPjRptilDo0E3dLWm88QC,"Make It","CHASE","Aaron May",2019-02-28,77374,29,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-05T12:47:11Z,"","MOVEINTHEAM",0.589,0.0941,10,-14.447,0,0.138,0.985,0.00000855,0.108,0.376,91.987,1
spotify:track:02Cp3VTUWNed8hr69BhKz6,"dark days","american dream","21 Savage;Mariah the Scientist",2024-01-12,295072,60,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-15T09:20:54Z,"alternative r&b","Slaughter Gang, LLC/Epic Records",0.68,0.583,2,-5.351,0,0.174,0.229,0.0000137,0.139,0.134,82.477,4
spotify:track:2e3Ea0o24lReQFR4FA7yXH,"Love Yourz","2014 Forest Hills Drive","J. Cole",2014-12-09,211496,77,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-15T09:37:54Z,"rap","Roc Nation Records LLC",0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,4
spotify:track:3s7MCdXyWmwjdcWh7GWXas,"Violent Crimes","ye","Kanye West",2018-06-01,215320,80,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-15T09:43:07Z,"rap","Getting Out Our Dreams, Inc./Def Jam Recordings",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
spotify:track:3Udb8YYxAEiQKCtLRa7nSb,"Slow Down","New Beginnings","REASON;Alemeda",2020-10-09,229377,25,true,br4reja3tf0gpjr6ai9r6z1b6,2024-01-26T23:32:43Z,"","Top Dawg Entertainment, LLC",0.629,0.715,1,-5.362,0,0.343,0.126,0,0.714,0.619,149.909,4
spotify:track:4jXl6VtkFFKIt3ycUQc5LT,"Circles","Circles","Mac Miller",2020-01-17,170360,68,false,br4reja3tf0gpjr6ai9r6z1b6,2024-04-08T08:18:45Z,"","Warner Records",0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964,4
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,"Good News","Circles","Mac Miller",2020-01-17,342040,70,false,br4reja3tf0gpjr6ai9r6z1b6,2024-04-08T08:27:58Z,"","Warner Records",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
spotify:track:5P1z8XwsCStb74emERTx9v,"letter to my brudda","american dream","21 Savage",2024-01-12,159133,54,true,br4reja3tf0gpjr6ai9r6z1b6,2024-06-07T06:40:15Z,"","Slaughter Gang, LLC/Epic Records",0.45,0.87,7,-4.224,0,0.309,0.222,0.00000285,0.291,0.588,156.727,4
spotify:local:Kendrick+Lamar:Prayer:Prayer:321,"Prayer","Prayer","Kendrick Lamar",,321000,0,false,br4reja3tf0gpjr6ai9r6z1b6,2024-09-10T16:58:55Z,"","undefined",,,,,,,,,,,,
spotify:track:561jH07mF1jHuk7KlaeF0s,"Mockingbird","Encore (Deluxe Version)","Eminem",2004-11-12,250760,86,true,br4reja3tf0gpjr6ai9r6z1b6,2024-09-18T01:12:59Z,"rap,hip hop","Eminem Catalog PS",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
spotify:track:3q2v8QaTnHLveAQzR6gvYm,"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012,723573,62,true,br4reja3tf0gpjr6ai9r6z1b6,2024-09-18T01:13:43Z,"hip hop,west coast hip hop","Aftermath",0.654,0.753,8,-7.556,0,0.398,0.303,0.0000825,0.13,0.371,110.699,5
