Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2FeBslNBMdR9V58uv6hd2t,"N95","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,195950,4,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T05:54:19Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.79,0.67,1,-5.527,1,0.105,0.377,0.00000232,0.119,0.408,139.956,4
spotify:track:6gI9b2VsoWhjhIuIeToDVs,"Die Hard","Mr. Morale & The Big Steppers","Kendrick Lamar;Blxst;Amanda Reifer",2022-05-13,239026,1,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T05:54:24Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,4
spotify:track:6kYGOFNUMxpab09L5Ukoke,"Rich Spirit","Mr. Morale & The Big Steppers","Kendrick Lamar",2022-05-13,202285,0,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T05:58:13Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.852,0.421,10,-9.153,0,0.208,0.428,0.00000228,0.106,0.457,95.977,4
spotify:track:1SC5rEoYDGUK4NfG82494W,"MONTERO (Call Me By Your Name)","MONTERO","Lil Nas X",2021-09-17,137704,73,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:19:36Z,"","Columbia",0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
spotify:track:3grVoZ10bm2jUGpo7BxpuF,"DEAD RIGHT NOW","MONTERO","Lil Nas X",2021-09-17,221203,49,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:34:48Z,"","Columbia",0.685,0.717,0,-6.456,0,0.0411,0.101,0.0000187,0.266,0.549,127.963,4
spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"INDUSTRY BABY (feat. Jack Harlow)","MONTERO","Lil Nas X;Jack Harlow",2021-09-17,212352,74,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:34:55Z,"","Columbia",0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,4
spotify:track:6bpq1jGkVz66Q3LYeoXdjZ,"SCOOP (feat. Doja Cat)","MONTERO","Lil Nas X;Doja Cat",2021-09-17,174164,55,true,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:35:06Z,"","Columbia",0.841,0.527,6,-8.116,1,0.149,0.0427,0.00000154,0.12,0.582,163.975,4
spotify:track:6th8IdY4lYeM0QlSQJhhkp,"LOST IN THE CITADEL","MONTERO","Lil Nas X",2021-09-17,170322,48,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:35:16Z,"","Columbia",0.768,0.764,0,-5.82,1,0.0295,0.0963,0.0000103,0.114,0.472,92.965,4
spotify:track:5S4PZ7AuYlYiVIVik3wHUf,"TALES OF DOMINICA","MONTERO","Lil Nas X",2021-09-17,146005,55,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:35:21Z,"","Columbia",0.742,0.734,8,-5.582,0,0.0407,0.629,0.00314,0.0834,0.541,114.952,4
spotify:track:6btdl1Vl6Ta5lUwUSOFW2H,"SUN GOES DOWN","MONTERO","Lil Nas X",2021-09-17,168034,52,false,br4reja3tf0gpjr6ai9r6z1b6,2022-05-15T18:35:25Z,"","Columbia",0.549,0.643,9,-6.808,1,0.0543,0.0792,0.0000121,0.107,0.123,174.041,4
