Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7HXPVDrOh8sPAoi1mEAGWT,"Lucky girl","Toy Box 2","KUWAGO",2020-07-29,217454,11,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:43:14Z,"future bass","KUWAGO",0.5,0.659,0,-6.246,1,0.0729,0.129,0.000125,0.321,0.236,165.079,4
spotify:track:1HlumBvclGhCA2PwRlrFP5,"Friends","Friends","Hyper Potions",2017-08-14,220875,45,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:43:45Z,"future bass","GameChops",0.485,0.86,2,-4.528,1,0.0278,0.000643,0.134,0.21,0.177,140.024,4
spotify:track:19DmqgTGenIkWUtm3Nqvcf,"Dancing girl","Toybox3","KUWAGO",2021-03-07,187920,11,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:44:35Z,"future bass","KUWAGO",0.723,0.799,4,-5.204,1,0.547,0.115,0,0.207,0.494,125.08,4
spotify:track:2O1rof3cGPN34ncC5rvBv2,"Let's start","Let's start","KUWAGO",2020-10-05,240923,26,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:44:50Z,"future bass","KUWAGO",0.701,0.761,2,-6.201,0,0.105,0.0682,0.000208,0.0935,0.323,129.995,4
spotify:track:7ihzvvGIh5Y03nEUFigDtr,"Railway Life","Gameboy Luke Commissions","Hyper Potions",2018-05-17,180035,17,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:45:06Z,"future bass","Hyper Potions",0.583,0.637,7,-6.718,1,0.036,0.0105,0.324,0.346,0.0765,140.008,4
spotify:track:5QWtG4MLn5yRVRv0OVPjCl,"Main Heroine","Slice of Life","cute girls doing cute things",2018-02-13,187099,29,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:45:22Z,"future bass","701219 Records DK",0.827,0.705,11,-3.417,1,0.0541,0.0435,0.69,0.0832,0.608,156.024,4
spotify:track:2cnsH0xpAxTqBTOmXHHg8C,"Future Lunch","Future Lunch","BB Yukus",2019-07-03,217504,4,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:45:34Z,"future bass","Chef Inspired Records",0.658,0.828,9,-3.881,1,0.0437,0.0522,0.00418,0.16,0.252,93.973,4
spotify:track:0j6oiy4W5tANf23ciwIXqh,"Fairyland","Fairyland","Elliot Hsu",2018-10-04,190440,17,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:45:48Z,"future bass","Repost Network",0.428,0.93,0,-3.613,1,0.0407,0.0000594,0.466,0.129,0.258,180.041,4
spotify:track:7mnwkU7FlpI3FuSQPmduXf,"Luminous","Luminous","AIKA",2020-05-01,233200,20,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:46:03Z,"future bass","AIKA",0.654,0.942,3,-2.917,1,0.057,0.0123,0.328,0.109,0.401,150.032,4
spotify:track:03nIPAlouQ5mdVHLKY5CZQ,"Hot Water","Hot Water","pixel fudge",2020-07-20,186841,17,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:46:19Z,"","Independent",0.385,0.811,5,-9.782,0,0.0506,0.00682,0.0785,0.0869,0.903,167.016,4
spotify:track:0mKGKLXrL8lzuQaE8JDBYZ,"Sugar","Sweet Tea and Sugar","pixel fudge",2020-10-25,183007,8,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:47:01Z,"","Independent",0.755,0.819,9,-4.785,1,0.0567,0.0258,0.0216,0.0627,0.889,148.961,4
spotify:track:4mbIqqXLVnzQRuG9RMcoM1,"Coconut Cabana","Coconut Cabana","ikura",2018-08-10,248372,23,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:47:12Z,"future bass","851604 Records DK",0.561,0.857,0,-5.285,1,0.255,0.0443,0.146,0.817,0.775,171.977,4
spotify:track:4TZlxB6a1qDloPDdfv2h8n,"Multiverse","Multiverse","PLEEG",2020-11-02,208615,2,false,br4reja3tf0gpjr6ai9r6z1b6,2021-08-21T21:47:25Z,"future bass","PLEEG",0.752,0.804,5,-4.451,1,0.295,0.0758,0.0243,0.642,0.838,129.979,4
