Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4quJwx6ONmYjepFCFUeE9V,"How's Life?","How's Life?","Caleborate",2022-01-26,155224,0,false,bluepalacio,2023-02-01T04:06:50Z,"","TBKTR",0.922,0.376,3,-13.148,1,0.0885,0.729,0.000501,0.0786,0.492,124.958,4
spotify:track:3JlWBPFE8wy4tUrOz6GWEE,"First Time Thing","First Time Thing","Calabasas",2021-07-02,131289,47,true,bluepalacio,2023-02-01T04:06:50Z,"","Buvision/ The Porter Music Company",0.753,0.674,10,-8.26,1,0.162,0.443,0.00000388,0.251,0.759,105.005,4
spotify:track:1uuAyraTxExMZMpUj8fAtB,"Be Over","Be Over","callmestevieray;JZAC",2022-06-10,146808,35,true,bluepalacio,2023-02-01T04:06:50Z,"","Stevie Ray",0.796,0.683,6,-8.585,0,0.0737,0.515,0,0.0809,0.307,94.025,4
spotify:track:1qpHbfyMnaIKcJPzVxfnpO,"I'm Good Luv, Enjoy.","CHASE","Aaron May",2019-02-28,134547,0,true,bluepalacio,2023-02-01T04:06:50Z,"","MOVEINTHEAM",0.891,0.586,11,-4.665,1,0.121,0.0833,0,0.213,0.954,130.012,4
spotify:track:5A9ctbShMyrhJqLqW0G1lB,"Dear Life","Dear Life","Marlon Craft",2022-09-07,153750,31,true,bluepalacio,2023-02-01T04:06:50Z,"","HOMECOURT LLC",0.722,0.418,0,-8.951,1,0.237,0.683,0.0119,0.108,0.585,116.228,4
spotify:track:7DvlNrYFvmZieL8GdhJuoy,"Start Over","Don't Throw Rocks At The Moon","Planet Giza",2021-02-12,130369,49,false,bluepalacio,2023-02-01T04:06:50Z,"","Planet Giza",0.627,0.489,7,-9.838,1,0.298,0.0669,0,0.0823,0.842,81.475,4
spotify:track:4Gzc8oHnRssN3YVGcT3Z4P,"What It Take","Outside Lookin In","Aaron May",2022-10-29,161806,0,true,bluepalacio,2023-02-01T04:06:50Z,"","MOVEINTHEAM",0.753,0.591,1,-6.97,0,0.0975,0.767,0,0.106,0.844,134.954,4
spotify:track:1dSQTFRuAAQSGbFlLukmD5,"THE LOOP","HOMECOURT ADVANTAGE, Vol. 1","Marlon Craft",2021-09-21,117226,40,true,bluepalacio,2023-02-01T04:06:50Z,"","Marlon Craft LLC",0.675,0.926,10,-3.545,0,0.455,0.174,0,0.0975,0.847,164.114,4
spotify:track:1fkJ9hoQXUlMZdUfAiXN8T,"Prayers","Prayers","June Haze",2022-06-17,126902,44,true,bluepalacio,2023-02-01T04:06:50Z,"","Brain Candy Music & Films, Inc",0.844,0.616,10,-6.432,1,0.0497,0.489,0.00000784,0.153,0.164,126.925,4
spotify:track:3On4pF3q95Yd0nL9R6No01,"Cocky Humble","While We're Here","Marlon Craft",2022-05-18,138750,47,true,bluepalacio,2023-02-01T04:06:50Z,"","HOMECOURT LLC",0.656,0.667,10,-5.397,0,0.0783,0.599,0.0211,0.103,0.664,77.506,4
