Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1SsbAUqPSt20PhHAuVSDNu,"Stars (feat. Yasiin Bey)","The Forever Story (Extended Version)","JID;Yasiin Bey",2022-10-31,258243,58,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:36Z,"","Dreamville/Interscope",0.494,0.583,10,-10.506,0,0.289,0.433,0.00000139,0.286,0.364,117.927,4
spotify:track:46Lx5epWOQBA3J86ovnxmV,"Workin Out","DiCaprio 2","JID",2018-11-26,226858,62,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:31Z,"","J. Cole/ DreamVille",0.818,0.57,10,-8.067,0,0.285,0.384,0.000102,0.19,0.561,126.938,4
spotify:track:6ZGoFntcQUWTPGGQPQmecY,"Kody Blu 31","The Forever Story (Extended Version)","JID",2022-10-31,224629,63,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:36Z,"","Dreamville/Interscope",0.571,0.724,4,-7.871,0,0.134,0.119,0.00000435,0.423,0.528,76.014,4
spotify:track:3utisM1p90YUtH7yjXyrrY,"Raydar","The Forever Story (Extended Version)","JID",2022-10-31,204909,62,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:36Z,"","Dreamville/Interscope",0.598,0.592,4,-7.607,0,0.381,0.0633,0.00000183,0.1,0.471,156.903,4
spotify:track:2WrldKXSBVbNNm3A9vJryi,"Dance Now (feat. Kenny Mason)","The Forever Story (Extended Version)","JID;Kenny Mason",2022-10-31,227555,65,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:36Z,"","Dreamville/Interscope",0.782,0.476,1,-10.972,1,0.239,0.0942,0.000022,0.162,0.27,135.024,4
spotify:track:3uFweCfk2Tk4fZzmTMzbRe,"Sistanem","The Forever Story (Extended Version)","JID",2022-10-31,369778,53,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:36Z,"","Dreamville/Interscope",0.522,0.558,9,-9.103,0,0.337,0.288,0.00000867,0.11,0.693,95.609,4
spotify:track:7j8vHxTp34MEoSDLG51sWo,"Slick Talk","DiCaprio 2","JID",2018-11-26,269703,48,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:31Z,"","J. Cole/ DreamVille",0.512,0.881,7,-5.102,1,0.417,0.0384,0,0.269,0.446,77.511,4
spotify:track:6KNNqqLaousABh4LeVhdJ9,"2007","The Forever Story (Extended Version)","JID",2022-10-31,446822,50,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:36Z,"","Dreamville/Interscope",0.464,0.574,8,-9.568,0,0.329,0.535,0,0.244,0.865,81.199,4
spotify:track:7hsulgRNgbyczeAg8tChCB,"NEVER","The Never Story","JID",2017-03-10,241682,62,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:51:37Z,"","J. Cole/ DreamVille",0.594,0.645,1,-7.45,1,0.315,0.0286,0.0000165,0.0668,0.205,103.973,4
spotify:track:3eKVubySb5Se7k2evSoT32,"Somebody","The Never Story","JID",2017-03-10,215902,44,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:51:37Z,"","J. Cole/ DreamVille",0.771,0.566,7,-9.25,1,0.387,0.46,0.0000148,0.634,0.528,99.49,4
spotify:track:2Zyk0on2N9vZyHueREwoJC,"Hasta Luego - Bonus","DiCaprio 2","JID",2018-11-26,221206,48,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:31Z,"","J. Cole/ DreamVille",0.769,0.505,11,-6.882,0,0.252,0.0359,0.000106,0.107,0.297,140.063,4
spotify:track:3JAeYOjyJodI4PRs44lx2l,"Off Deez (with J. Cole)","DiCaprio 2","JID;J. Cole",2018-11-26,213357,58,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:52:31Z,"rap","J. Cole/ DreamVille",0.836,0.579,9,-6.164,1,0.243,0.00207,0,0.11,0.431,85.486,4
spotify:track:0G6ExlA2fcJIDGoayswUNT,"All Bad","The Never Story","JID;Mereba",2017-03-10,291760,51,true,br4reja3tf0gpjr6ai9r6z1b6,2024-07-24T04:51:37Z,"alternative r&b","J. Cole/ DreamVille",0.538,0.238,11,-14.541,1,0.316,0.854,0.0485,0.11,0.506,78.777,1
