Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,98,false,br4reja3tf0gpjr6ai9r6z1b6,2024-03-29T07:26:54Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:1afnPPsiKj3MPfFFcC7QJE,"Heaven Over our Heads","Grapes Upon the Vine","TV Girl",2023-06-30,246750,41,false,br4reja3tf0gpjr6ai9r6z1b6,2024-03-30T02:07:44Z,"","Blissful Serenity Industries, LLC",0.477,0.709,10,-7.757,0,0.0432,0.351,0.00000468,0.171,0.629,90.046,4
spotify:track:1OuN92HcVG6NVpWbeESNB3,"Everybody","Circles","Mac Miller",2020-01-17,256506,59,false,br4reja3tf0gpjr6ai9r6z1b6,2024-04-08T08:37:53Z,"","Warner Records",0.875,0.599,9,-9.077,0,0.138,0.0333,0.0143,0.113,0.112,152.061,4
spotify:track:0YcAWPUwih5MrIlD90oiNu,"Bruised Orange (Chain of Sorrow)","Broken Hearts & Dirty Windows: Songs of John Prine","Justin Vernon",2016-04-22,241986,0,false,br4reja3tf0gpjr6ai9r6z1b6,2024-05-08T07:01:13Z,"indie folk","Oh Boy Records",0.169,0.424,9,-8.871,1,0.0586,0.988,0.664,0.0648,0.0777,50.57,4
spotify:track:15WbjBy1bzH1UsUldBwwlW,"Blood Bank","Blood Bank","Bon Iver",2009-01-20,285160,60,false,br4reja3tf0gpjr6ai9r6z1b6,2024-05-08T07:15:49Z,"","Jagjaguwar",0.493,0.372,7,-11.889,1,0.0331,0.964,0.0308,0.117,0.25,116.86,4
spotify:track:3THtnG1bwcN8slSt4GJeEG,"No One Else","Perak","Thee Marloes",2024-08-09,116550,29,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-31T21:10:55Z,"retro soul,indonesian indie,indie jazz","Big Crown Records",0.689,0.393,2,-11.083,1,0.0433,0.895,0.00000415,0.16,0.483,75.051,4
spotify:track:2pzPC40SA14bElnW9tqgoI,"Kids Driving The Elevator","Kids Driving The Elevator","Micah Preite",2023-07-14,181781,39,false,br4reja3tf0gpjr6ai9r6z1b6,2024-08-31T21:12:40Z,"slowcore","Micah Preite",0.678,0.39,7,-13.298,1,0.0571,0.596,0.69,0.294,0.496,86.033,4
spotify:track:2qmmnbJ9JR3f7vofbyje5r,"Slow Dance","Charm","Clairo",2024-07-12,234853,76,false,br4reja3tf0gpjr6ai9r6z1b6,2024-10-12T01:31:07Z,"bedroom pop","Clairo",0.727,0.534,2,-8.444,1,0.0297,0.72,0.0186,0.0977,0.598,84.007,4
spotify:track:2mWfVxEo4xZYDaz0v7hYrN,"Juna","Charm","Clairo",2024-07-12,195109,78,false,br4reja3tf0gpjr6ai9r6z1b6,2024-10-12T01:40:16Z,"bedroom pop","Clairo",0.606,0.714,3,-6.244,1,0.0339,0.238,0.098,0.106,0.448,141.512,4
spotify:track:6QlSPjiXHc1XwGKeEls6Gh,"Echo","Charm","Clairo",2024-07-12,229853,61,false,br4reja3tf0gpjr6ai9r6z1b6,2024-10-12T01:46:40Z,"bedroom pop","Clairo",0.56,0.705,6,-5.676,0,0.0258,0.604,0.938,0.403,0.199,112.501,4
spotify:track:57RA3JGafJm5zRtKJiKPIm,"Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows;Clairo",2019-03-22,178000,77,false,br4reja3tf0gpjr6ai9r6z1b6,2025-07-22T04:40:54Z,"indie,bedroom pop","Atlantic Records",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
spotify:track:4uyBm26e7ElRigCH6vRbpc,"DEVOTION","SWAG","Justin Bieber;Dijon",2025-07-11,234400,70,false,br4reja3tf0gpjr6ai9r6z1b6,2025-08-03T04:16:49Z,"","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",0.407,0.373,7,-11.417,1,0.0651,0.685,0.0000202,0.158,0.284,65.53,4
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,"The Dress","Absolutely","Dijon",2021-11-05,184767,78,false,br4reja3tf0gpjr6ai9r6z1b6,2025-08-03T04:18:30Z,"","R&R Digital/Warner Records",0.747,0.531,8,-5.99,1,0.0477,0.266,0.0000018,0.192,0.785,88.009,4
spotify:track:467t3218y3yihFcyDGWjr0,"Skin","Skin","Dijon",2018-04-19,230625,64,false,br4reja3tf0gpjr6ai9r6z1b6,2025-08-03T04:20:57Z,"","Dark Green, Dark Green",0.674,0.616,7,-3.471,1,0.0272,0.512,0.0000021,0.331,0.551,94.934,4
spotify:track:1OgyTG8JVzJghfAWm4gI3C,"Porcelain","Californication","Red Hot Chili Peppers",1999-06-08,163706,43,false,br4reja3tf0gpjr6ai9r6z1b6,2025-08-20T07:47:04Z,"funk rock,alternative rock,rock","Warner Records",0.371,0.259,7,-11.352,1,0.0312,0.443,0.00384,0.0752,0.0467,140.425,3
spotify:track:0gmStTUTuiU807EB4KafOX,"Yours","Yours","maye",2021-02-12,220887,64,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-24T09:15:22Z,"latin indie,latin alternative","Pink Poetry & EO Entertainment",0.67,0.707,11,-9.726,0,0.0358,0.714,0.065,0.0634,0.799,89.008,4
spotify:track:4Tq3QocH9Okvn4wDgTlkR5,"We Stayed Up All Night","We Stayed Up All Night","Tourist;Ardyn",2017-06-27,265758,53,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-24T15:11:07Z,"","Monday Records",0.519,0.842,11,-6.507,1,0.0433,0.213,0.000441,0.21,0.588,84.997,4
spotify:track:7egu63DOhNpivWOpGtzqGS,"Lamb's Wool","Lamb's Wool","Foster The People",2020-05-22,276360,58,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-28T04:25:00Z,"","Foster The People",0.433,0.614,8,-7.594,0,0.0499,0.111,0.0000561,0.141,0.233,178.751,4
spotify:track:7qH9Z4dJEN0l9bidizW7fq,"Anchor","Bathing Beach","Novo Amor",2017-05-26,257533,80,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-07T12:31:59Z,"ambient folk","AllPoints",0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4
spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,"State Lines","Birthplace","Novo Amor",2018-10-19,208653,74,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-07T12:34:23Z,"ambient folk","AllPoints",0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,3
spotify:track:06VvA4AEFZ3tUkNXcon6sR,"Slow","Eyes Wide, Tongue Tied (Super Deluxe)","The Fratellis",2016-05-20,281826,12,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-07T12:38:08Z,"","Cooking Vinyl/Downtown",0.286,0.864,9,-6.053,1,0.0531,0.101,0.00027,0.133,0.632,202.089,4
spotify:track:1lh5stJGmaVucEdExCqEVm,"Moon (Feat. Bon Iver)","Son Of Spergy","Daniel Caesar;Bon Iver",2025-10-24,317000,68,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-17T05:52:02Z,"","Republic Records",0.496,0.356,6,-12.281,1,0.0344,0.785,0.00411,0.0956,0.168,140.023,4
spotify:track:6DH13QYXK7lKkYHSU88N48,"Who Knows","Son Of Spergy","Daniel Caesar",2025-10-24,226283,89,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-17T06:31:26Z,"","Republic Records",0.674,0.257,5,-14.948,0,0.0355,0.756,0.0000138,0.362,0.391,120.902,4
spotify:track:11607FzqoipskTsXrwEHnJ,"Sunday Morning","The Velvet Underground & Nico 45th Anniversary","The Velvet Underground;Nico",1967-03-12,175893,63,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-25T23:20:42Z,"proto-punk,art rock","Polydor",0.506,0.442,5,-13.268,0,0.0276,0.0869,0.00239,0.0846,0.532,105.833,4
spotify:track:3PG7BAJG9WkmNOJOlc4uAo,"Femme Fatale","The Velvet Underground & Nico 45th Anniversary","The Velvet Underground;Nico",1967-03-12,159000,63,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-25T23:26:19Z,"proto-punk,art rock","Polydor",0.55,0.143,0,-15.753,1,0.0332,0.912,0,0.118,0.149,103.921,4
spotify:track:0xtIp0lgccN85GfGOekS5L,"Yes I'm Changing","Currents","Tame Impala",2015-07-17,270680,76,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-27T18:49:04Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.373,0.609,0,-7,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,4
spotify:track:4a9fW33mYR8LhXBOLUhbfF,"Past Life","Currents","Tame Impala",2015-07-17,228040,62,false,br4reja3tf0gpjr6ai9r6z1b6,2025-12-28T23:08:03Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.371,0.778,7,-7.196,0,0.0559,0.211,0.00141,0.181,0.288,145.734,4
spotify:track:5h9hkYIBWTZYFRmF6Iz1gt,"Love/Paranoia","Currents","Tame Impala",2015-07-17,185773,67,true,br4reja3tf0gpjr6ai9r6z1b6,2025-12-28T23:13:38Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.502,0.699,5,-5.528,1,0.0333,0.0055,0,0.171,0.354,111.024,4
spotify:track:5BhK8Mho223YLPQOLfzWNP,"Killing Me","Ivory","Omar Apollo",2022-04-08,165320,57,true,br4reja3tf0gpjr6ai9r6z1b6,2026-01-05T05:25:16Z,"bedroom pop","Warner Records",0.861,0.27,6,-9.515,0,0.0616,0.301,0.00288,0.124,0.608,84.004,4
spotify:track:75IQVo8hqI1iwVZyvkN2VT,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,79,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-12T04:02:37Z,"bedroom pop,indie pop","Indie",0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,4
spotify:track:6rv4gfOtrlYFrcu03gZkUW,"I Follow You","Melody's Echo Chamber","Melody's Echo Chamber",2013,214400,52,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-12T04:15:08Z,"neo-psychedelic,dream pop,psychedelic rock","Fat Possum",0.222,0.801,9,-4.892,0,0.0394,0.02,0.319,0.114,0.685,200.76,4
spotify:track:5WbfFTuIldjL9x7W6y5l7R,"Kingston","Atlanta Millionaires Club","Faye Webster",2019-05-24,202653,77,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-12T04:23:59Z,"","Secretly Canadian",0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,4
spotify:track:3EaJDYHA0KnX88JvDhL9oa,"Dark Red","Dark Red","Steve Lacy",2017-02-20,173104,85,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-12T04:26:38Z,"","Three Quarter",0.603,0.784,6,-4.023,1,0.062,0.446,0.00000832,0.119,0.769,172.041,4
spotify:track:7dJN4NWQuqCjWwIT3UwOps,"Useless","Apolonio","Omar Apollo",2020-10-16,183693,60,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-12T04:30:10Z,"bedroom pop","Warner Records",0.612,0.565,5,-7.609,1,0.0414,0.585,0.00174,0.0827,0.545,89.895,4
spotify:track:5bIgzvxvlefRUCQK9JPocF,"Garden Song","Punisher","Phoebe Bridgers",2020-06-18,219681,63,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-12T04:31:35Z,"","Dead Oceans",0.426,0.274,0,-16.649,1,0.146,0.856,0.00658,0.111,0.169,100.255,4
spotify:track:3Ck96jIZdVzpWbbZ6mojsE,"Mykonos","Sun Giant","Fleet Foxes",2008-02-28,275306,66,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-13T21:32:17Z,"indie folk,folk,indie","Sub Pop Records",0.298,0.431,8,-9.921,0,0.0297,0.392,0.000519,0.13,0.339,82.985,4
spotify:track:4PwWESSlTwzvw9B7bmtTLS,"anything","songs","Adrianne Lenker",2020-10-23,202047,79,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-13T21:35:56Z,"","4AD",0.388,0.291,3,-12.952,1,0.0421,0.774,0.0000193,0.0874,0.51,83.943,4
spotify:track:1X6yU83W2ssBR5eBvuQNep,"Bread & Butter","Don't give me problems, give me wine","BabyJake",2020-07-31,203480,35,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-24T00:45:33Z,"","Republic Records",0.57,0.407,0,-9.841,1,0.0312,0.36,0.112,0.13,0.397,155.019,4
spotify:track:7rZGL30u3ngHZD1vS37aZ4,"Anywhere","Don't give me problems, give me wine","BabyJake",2020-07-31,221253,20,false,br4reja3tf0gpjr6ai9r6z1b6,2026-01-24T00:52:08Z,"","Republic Records",0.485,0.484,5,-8.398,1,0.0295,0.018,0.0000506,0.105,0.139,109.586,4
spotify:track:5yJaXWIErrrsjQ3J0eR5aK,"The Night We Met","Strange Trails","Lord Huron",2015-04-07,208226,88,false,br4reja3tf0gpjr6ai9r6z1b6,2026-02-02T18:32:51Z,"","Lord Huron",0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3
