Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7z3PblAN3dH1JMewiRydkZ,"GIRLS","GIRLS","The Kid LAROI",2024-06-28,152979,63,true,br4reja3tf0gpjr6ai9r6z1b6,2025-03-09T05:49:25Z,"","Columbia",0.731,0.734,7,-3.145,0,0.0515,0.0382,0.00000167,0.353,0.797,101.008,4
spotify:track:5IVuqXILoxVWvWEPm82Jxr,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé;JAŸ-Z",2003-06-24,236133,78,false,br4reja3tf0gpjr6ai9r6z1b6,2025-02-07T07:48:11Z,"hip hop,east coast hip hop,rap","Columbia",0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
spotify:track:4TsmezEQVSZNNPv5RJ65Ov,"Pon de Replay","Music Of The Sun","Rihanna",2005-08-29,246960,80,false,br4reja3tf0gpjr6ai9r6z1b6,2025-02-07T00:26:30Z,"","Def Jam Recordings",0.779,0.64,7,-8.415,1,0.159,0.000155,0.000766,0.101,0.499,99.017,4
spotify:track:7vS3Y0IKjde7Xg85LWIEdP,"Problem","My Everything (Deluxe)","Ariana Grande;Iggy Azalea",2014-08-22,193920,79,false,br4reja3tf0gpjr6ai9r6z1b6,2025-02-02T08:25:09Z,"pop","Universal Records",0.66,0.805,1,-5.352,0,0.153,0.0192,0.00000883,0.159,0.625,103.021,4
spotify:track:3Vo4wInECJQuz9BIBMOu8i,"Finesse - Remix; feat. Cardi B","Finesse (Remix) [feat. Cardi B]","Bruno Mars;Cardi B",2017-12-20,217288,78,false,br4reja3tf0gpjr6ai9r6z1b6,2025-01-13T22:08:31Z,"","Atlantic Records",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,4
spotify:track:7d1CFwrBmH34gmS0Hkbfbt,"Replay","Zendaya","Zendaya",2013-01-01,209186,66,false,br4reja3tf0gpjr6ai9r6z1b6,2025-03-01T01:05:58Z,"","Hollywood Records",0.688,0.723,6,-6.682,0,0.121,0.0416,0.0002,0.302,0.618,140.023,4
spotify:track:0wbDgMuAoy7O7pL3a69uZx,"Give It To Me","Shock Value","Timbaland;Justin Timberlake;Nelly Furtado",2007-04-02,234026,77,true,br4reja3tf0gpjr6ai9r6z1b6,2025-01-13T22:09:05Z,"","Interscope/Blackground Records",0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,4
spotify:track:1AWQoqb9bSvzTjaLralEkT,"Rock Your Body","Justified","Justin Timberlake",2002-11-04,267266,83,false,br4reja3tf0gpjr6ai9r6z1b6,2025-01-13T22:13:45Z,"","Jive",0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4
spotify:track:0ByMNEPAPpOR5H69DVrTNy,"Don't Stop The Music","Good Girl Gone Bad: Reloaded","Rihanna",2008-06-02,267080,85,false,br4reja3tf0gpjr6ai9r6z1b6,2025-01-13T22:21:11Z,"","Def Jam Recordings",0.834,0.669,6,-5.582,0,0.0637,0.0341,0.0000718,0.0535,0.547,122.669,4
spotify:track:2gam98EZKrF9XuOkU13ApN,"Promiscuous","Loose","Nelly Furtado;Timbaland",2006-01-01,242293,87,false,br4reja3tf0gpjr6ai9r6z1b6,2025-01-14T23:36:44Z,"","Mosley / Geffen",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
spotify:track:20zQZVyUNPbq8kZACdgYrh,"On The Floor","LOVE?","Jennifer Lopez;Pitbull",2011-04-29,284866,62,false,br4reja3tf0gpjr6ai9r6z1b6,2025-01-16T07:13:39Z,"","Nuyorican Productions / IDJ",0.73,0.776,3,-5.199,0,0.0482,0.108,0.00045,0.069,0.592,129.998,4
spotify:track:12KUFSHFgT0XCoiSlvdQi4,"Break Free","My Everything (Deluxe)","Ariana Grande;Zedd",2014-08-22,214840,82,false,br4reja3tf0gpjr6ai9r6z1b6,2025-02-02T01:01:36Z,"pop,edm","Universal Records",0.686,0.702,7,-5.325,0,0.0455,0.00637,0.0000446,0.204,0.29,129.948,4
spotify:track:2ENexcMEMsYk0rVJigVD3i,"Only Girl (In The World)","Loud","Rihanna",2010-01-01,235493,87,false,br4reja3tf0gpjr6ai9r6z1b6,2025-02-02T02:35:51Z,"","Def Jam Recordings",0.789,0.706,11,-4.233,0,0.0429,0.112,0.0000171,0.0586,0.638,125.918,4
