Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3a1Ska1dAtx4KE4b86eumQ,"More Mess on My Thing","Practice What You Preach","The Poets Of Rhythm",1993-01-01,252000,53,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"funk,jazz funk,acid jazz","Daptone Records",0.542,0.869,0,-6.18,1,0.0947,0.225,0.891,0.0453,0.962,190.132,4
spotify:track:3lnDL4J8YRCKMDdqyAv6YF,"Changed Man","Rev. Curtis Watson","Rev. Curtis Watson",1977-11-08,236493,2,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"","Malaco Records",0.603,0.544,5,-12.384,0,0.0592,0.634,0.0000525,0.082,0.731,79.874,4
spotify:track:4y4KGkGp6qoewYhQdcQfT3,"It Ain't Fair","An Anthology Vol. 2","Aretha Franklin;Duane Allman",1974-01-01,200840,36,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"soul,motown,classic soul,southern rock,blues,blues rock","Mercury Records",0.667,0.254,7,-14.392,1,0.041,0.777,0.0938,0.0829,0.437,128.99,3
spotify:track:7mE8zTza4M3rs3r6pGQPPA,"World That's Not Real","Deep Inside You","Gloria Ann Taylor",1973-12-07,230877,27,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"","Columbia",0.287,0.53,4,-8.195,0,0.0485,0.696,0.0426,0.145,0.374,177.164,4
spotify:track:4TUbjlvzSLcQITC0epBlFt,"Neither One Of Us (Wants To Be The First To Say Goodbye) - Kenny Dope Mix","Neither One Of Us (Wants To Be The First To Say Goodbye) [Kenny Dope Mix]","Gladys Knight & The Pips;Kenny Dope",2005,377040,12,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"motown,classic soul,soul,northern soul","Motown",0.615,0.368,5,-10.277,1,0.0422,0.285,0.00539,0.087,0.47,141.361,4
spotify:track:4lRrk574qIHpoEEKC1zuam,"At Your Best (You Are Love)","Age Ain't Nothing But A Number","Aaliyah",1994-05-22,291400,63,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"r&b","Jive",0.626,0.441,9,-10.637,0,0.0308,0.761,0.0138,0.0685,0.563,78.094,4
spotify:track:5jgEJXjECdlhzNgfITSTVm,"Just Friends (Sunny)","Aijuswanaseing","Musiq Soulchild",2000-01-01,251426,64,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"neo soul,r&b,quiet storm","Def Jam Recordings",0.754,0.376,0,-7.56,1,0.208,0.404,0,0.358,0.556,95.018,4
spotify:track:3spVOTovU6r1DqplzodFlp,"Olvidarte Nunca / Cuatro Cirios / Con la Mano en la Biblia","Olvidarte Nunca / Cuatro Cirios / Con la Mano en la Biblia","Los Golpes",2019-02-27,262295,35,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"","Tropi Records",0.373,0.55,0,-9.381,1,0.0581,0.0945,0.00000466,0.191,0.62,76.991,4
spotify:track:2AaYmg1ArJhLQVqeDickzP,"Quartet for Four Violins: II","Grazyna Bacewicz: chamber music","Grażyna Bacewicz;David Juritz;Victoria Sayles;Richard Milone;Charlotte Scott",2017-01-26,233613,2,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"contemporary classical,neoclassical,chamber music","Ambache Recordings",0.0877,0.0172,4,-29.979,1,0.0477,0.991,0.942,0.599,0.0348,84.487,3
spotify:track:7mMzs6svCq1Ij4bcqWo0Oa,"Serenade For Strings, Op. 2: II. Romans","Shusha","Mieczysław Karłowicz;Sinfonia Varsovia;Ayyub Guliev",2022-12-03,428013,0,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"concerto,classical,chamber music,baroque","Orphée Classics",0.0626,0.117,8,-20.075,1,0.053,0.971,0.903,0.0977,0.0312,63.07,3
spotify:track:4A7s5wmjZdAjYL9vdFw7ks,"Peace Go With You Brother (As-Salaam-Alaikam) (-)","What’s The Word – Socially Conscious Soul Music","Gil Scott-Heron",2012-01-09,332213,0,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"spoken word,jazz funk","Harmless",0.511,0.154,0,-15.523,1,0.0448,0.899,0.00015,0.131,0.113,129.915,4
spotify:track:2Ln0hyWkihBuc1L2pKhCwP,"The Look Of Love","...To Be Continued","Isaac Hayes",2016-01-01,673322,36,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"soul,classic soul,funk","Stax",0.452,0.328,8,-14.561,0,0.0345,0.402,0.0326,0.111,0.483,93.12,4
spotify:track:5spAjqC772iC2KzDvEkmSr,"A Song for You","Donny Hathaway","Donny Hathaway",1971,325946,61,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"soul,classic soul","Rhino Atlantic",0.332,0.22,5,-13.157,1,0.036,0.821,0.000205,0.245,0.0719,100.196,4
spotify:track:6Dq2LzijkY9WNPwBGDah4L,"Didn't I","Let My People Go","Darondo",2005-01-24,209160,63,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"","Luv N' Haight",0.463,0.382,5,-11.682,1,0.0278,0.897,0.263,0.108,0.638,74.573,4
spotify:track:1HWOX9Er7FnEm9yuM7bTtj,"Where There Is Love - Remastered","Straight From The Heart","Patrice Rushen",2017-12-06,190520,28,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"post-disco,jazz funk,disco,funk","Strut",0.597,0.496,2,-10.04,0,0.0305,0.468,0.0089,0.077,0.379,82.417,4
spotify:track:1guv0JLlFlWilOSy63IY2x,"El Farol","Supernatural (Remastered)","Santana",1999-06-15,290840,42,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"","Columbia/Legacy",0.706,0.396,9,-12.175,0,0.0248,0.815,0.947,0.0925,0.719,103.986,4
spotify:track:6xrvubhznLOcEO3AM6XBN2,"Before You Walk Out of My Life","Miss Thang","Monica",1995-07-18,292800,55,false,br4reja3tf0gpjr6ai9r6z1b6,2025-11-06T12:56:18Z,"r&b","Arista",0.555,0.41,6,-8.308,1,0.0431,0.227,0,0.13,0.433,169.804,4
spotify:track:3mc4nFeBX4hvuYbPsoS4GK,"Love, Love, Love","Extension of a Man","Donny Hathaway",1973,202066,61,false,br4reja3tf0gpjr6ai9r6z1b6,2026-02-28T11:04:16Z,"soul,classic soul","Rhino Atlantic",0.487,0.707,8,-7.775,1,0.0595,0.691,0,0.161,0.639,95.136,4
