Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4zoQ3EqopTIGmK2c2rPV5t,"Cause We've Ended as Lovers","Blow By Blow","Jeff Beck",1975-03-29,341535,54,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-04T20:06:00Z,"jazz fusion,blues rock,blues","Epic",0.549,0.294,0,-13.181,0,0.0337,0.144,0.798,0.108,0.145,115.294,4
spotify:track:0ETet6J3eOfA6G6ZvUcSB4,"Morning Birds","!!"" Nature And Bird Sounds ""!!","Nature Sounds;Nature Sounds Nature Music;BodyHI",2020-11-21,48297,41,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-04T23:06:38Z,"","Gen One",0.383,0.133,5,-36.75,0,0.156,0.0243,0.926,0.29,0.081,132.256,4
spotify:track:0G21yYKMZoHa30cYVi1iA8,"Welcome To The Jungle","Appetite For Destruction","Guns N' Roses",1987-07-21,273480,84,true,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.454,0.987,8,-4.485,1,0.0881,0.0195,0.279,0.268,0.316,123.61,4
spotify:track:5VfgDw3oOzcNoszDwkLQhH,"Run Through The Jungle","Cosmo's Factory","Creedence Clearwater Revival",1970-07-24,185106,71,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"classic rock,southern rock,country rock","Craft Recordings.",0.638,0.756,7,-5.916,1,0.0483,0.0157,0.176,0.0958,0.837,136.557,4
spotify:track:1Ud6moTC0KyXMq1Oxfien0,"Sympathy For The Devil - 50th Anniversary Edition","Beggars Banquet (50th Anniversary Edition)","The Rolling Stones",1968-12-06,378146,73,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"classic rock,rock","ABKCO Music & Records",0.703,0.668,9,-9.237,1,0.22,0.516,0,0.0588,0.561,116.039,4
spotify:track:2rd9ETlulTbz6BYZcdvIE1,"War Pigs / Luke's Wall - 2012 - Remaster","Paranoid (Remaster)","Black Sabbath",1970-09-18,474359,69,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock","Rhino/Warner Records",0.332,0.623,9,-12.363,1,0.08,0.222,0.000895,0.278,0.413,183.097,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black","Aftermath","The Rolling Stones",1966-04-15,202266,83,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:4f5nUYzeUioPwNbz2mGx5S,"Jungle","Both Sides of the Sky","Jimi Hendrix",2018-03-09,208120,53,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.497,0.499,9,-12.348,0,0.056,0.0558,0.73,0.222,0.516,174.608,3
spotify:track:7CpbhqKUedOIrcvc94p60Y,"Bodies","Sinner","Drowning Pool",2001-01-01,201960,78,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"nu metal,alternative metal,rap metal,metal","The Bicycle Music Company",0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4
spotify:track:0Lpk5WlrFnM0Igck2PH12t,"Jungle","Jungle","Tash Sultana",2016-12-19,315598,59,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"","Mom+Pop",0.589,0.697,1,-5.877,0,0.0294,0.269,0.0000989,0.0881,0.497,145.984,4
spotify:track:5wqlRFdpJ1a4kMIBSWeCnN,"Voodoo People - Pendulum Mix","Voodoo People / Out of Space","The Prodigy;Pendulum",2005-10-03,307813,62,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"big beat,breakbeat,hardcore techno,drum and bass,dubstep","XL Recordings",0.443,0.96,1,-5.481,1,0.0661,0.000127,0.875,0.194,0.533,174.011,4
spotify:track:2VN7uPrbryJ7nE2MXX3f9a,"Burning Heart - From ""Rocky IV"" Soundtrack","Survivor Greatest Hits","Survivor",1993-01-01,230106,72,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"","Volcano",0.652,0.609,9,-9.684,0,0.028,0.298,0.00000879,0.0573,0.646,98.125,4
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"Fortunate Son","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,140773,83,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"classic rock,southern rock,country rock","Craft Recordings",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
spotify:track:1yo16b3u0lptm6Cs7lx4AD,"Fight The Power","Fear Of A Black Planet","Public Enemy",1990-04-10,282640,55,true,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","Def Jam Recordings",0.797,0.582,2,-12.97,1,0.255,0.00484,0.00000204,0.517,0.415,105.974,4
spotify:track:0p605w4UL8fbMWWiSSCSxa,"Mantaray","Electric Tears","Buckethead",2002,251013,21,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-07T01:28:23Z,"","Metastation",0.422,0.15,3,-15.008,0,0.0434,0.987,0.903,0.1,0.0752,128.485,4
spotify:track:1TDk2Jmi4dVZhm2dum3Jim,"Cochise","Audioslave","Audioslave",2002-11-17,222026,64,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-07T01:47:43Z,"grunge,post-grunge,alternative metal","Epic/Interscope",0.452,0.873,9,-4.867,1,0.0613,0.000519,0,0.0592,0.433,80.473,4
spotify:track:1WPqawIF9HCKfSOt7mN6X0,"Nowhere To Run","Dance Party","Martha Reeves & The Vandellas",1965-01-01,181640,58,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"motown,northern soul,classic soul,soul","UNI/MOTOWN",0.606,0.815,2,-9.377,0,0.0485,0.104,0.00566,0.0515,0.877,129.34,4
spotify:track:0wvIGFIgbyz4JNwQhZgTv2,"Rooster (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,374333,75,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"grunge,post-grunge","Columbia",0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08,3
spotify:track:7ACxUo21jtTHzy7ZEV56vU,"Crazy Train","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,293183,81,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-04T20:21:54Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
spotify:track:1uWXRX62AWuII2FmsaPf2d,"Guerilla Radio","Parade of the Bulls","Rage Against Power Machines",2017-11-10,200973,20,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"","Metal Pop",0.541,0.802,6,-12.408,1,0.118,0.00876,0.000236,0.431,0.381,103.704,4
spotify:track:78lgmZwycJ3nzsdgmPPGNx,"Immigrant Song - Remaster","Led Zeppelin III (Remaster)","Led Zeppelin",1970,146250,78,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4
spotify:track:69QHm3pustz01CJRwdo20z,"Hells Bells","Back In Black","AC/DC",1980-07-25,312815,77,false,br4reja3tf0gpjr6ai9r6z1b6,2025-05-03T20:01:29Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,4
