Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5uiqrM9NLgnoAkJeqJqdlt,"No Escape","Hades: Original Soundtrack","Darren Korb",2020-09-16,145048,46,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.374,0.715,5,-7.927,1,0.0277,0.00191,0.826,0.105,0.328,178.035,4
spotify:track:5qr4FnHbYdTYl6OzWyagtF,"The House of Hades","Hades: Original Soundtrack","Darren Korb",2020-09-16,292202,39,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.51,0.596,0,-7.608,0,0.029,0.352,0.968,0.088,0.28,88.018,4
spotify:track:4FuOHRPC3ZIQ7VQd7KMbds,"Out of Tartarus","Hades: Original Soundtrack","Darren Korb",2020-09-16,353972,43,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.53,0.772,0,-7.292,1,0.0388,0.00439,0.875,0.0429,0.744,163.964,4
spotify:track:314kpjYUOjVsd5nIAvw4ZV,"Wretched Shades","Hades: Original Soundtrack","Darren Korb",2020-09-16,175321,37,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.665,0.556,7,-10.217,1,0.0768,0.821,0.947,0.18,0.689,152.917,4
spotify:track:0lheBnCG6GonaIsznGzGUI,"Lament of Orpheus","Hades: Original Soundtrack","Darren Korb",2020-09-16,193290,43,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.495,0.333,7,-9.3,0,0.0294,0.929,0.0178,0.125,0.103,125.62,3
spotify:track:6XpA6R9pRVgZcjarViwOm0,"The Painful Way","Hades: Original Soundtrack","Darren Korb",2020-09-16,413756,42,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.582,0.695,0,-7.208,1,0.0325,0.114,0.926,0.0796,0.629,97.997,4
spotify:track:0PijoCJtD6iTbaLgvVVIPp,"From Olympus","Hades: Original Soundtrack","Darren Korb",2020-09-16,191918,36,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.78,0.354,5,-12.346,0,0.0446,0.651,0.894,0.108,0.665,108.041,3
spotify:track:3nWcKL9oj1h6R6Ggu25zOR,"Through Asphodel","Hades: Original Soundtrack","Darren Korb",2020-09-16,522882,35,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.471,0.835,2,-6.743,1,0.044,0.156,0.849,0.12,0.476,139.987,4
spotify:track:5gQTdwbLvhRHtMcyWxl3y2,"Good Riddance (Eurydice Solo)","Hades: Original Soundtrack","Darren Korb;Ashley Barrett",2020-09-16,177322,44,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.491,0.195,0,-12.065,0,0.0296,0.949,0.0476,0.208,0.281,76.041,4
spotify:track:6kTp5IpufE8GDb2LA9DI6N,"Final Expense","Hades: Original Soundtrack","Darren Korb",2020-09-16,153713,33,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.532,0.195,9,-11.841,0,0.0333,0.958,0.98,0.104,0.0671,137.981,4
spotify:track:4b7k4nNURGCRKlZqHXQV5g,"Mouth of Styx","Hades: Original Soundtrack","Darren Korb",2020-09-16,466133,33,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.742,0.734,0,-8.002,1,0.0305,0.188,0.927,0.0901,0.72,118.023,4
spotify:track:25L4T927kFwHhc2aVI859f,"Primordial Chaos","Hades: Original Soundtrack","Darren Korb",2020-09-16,233820,31,false,br4reja3tf0gpjr6ai9r6z1b6,2023-07-09T22:58:07Z,"soundtrack","Supergiant Games",0.0608,0.494,1,-10.132,1,0.0399,0.881,0.939,0.0616,0.0369,57.91,4
